Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,BOM
1,,HEADER-1X1-SMD_MASKHELD_2X2MM,BACKLITEPWM0 GND0 JP3 JP4 JP5 JP6 JP7,HEADER-1X1-SMD_MASKHELD_2X2MM,1X01_SMD_MASKHELD_2X2MM,7, ,,
2,,CAP_CERAMIC0805-NOOUTLINE,C21 C22,0.01uF,0805-NO,2, ,,
3,,CAP_CERAMIC0805-NOOUTLINE,C1 C2 C3 C5 C7 C8 C9 C10 C11 C19 C20 C23,0.1uF,0805-NO,12, ,,
4,,CAP_CERAMIC_0805MP,C4 C6,0.1uF,_0805MP,2, ,,
5,,CAP_CERAMIC0805-NOOUTLINE,C17 C18 C25,1uF,0805-NO,3, ,,
6,,CAP_CERAMIC0805-NOOUTLINE,C12 C13 C14 C15 C16,10uF,0805-NO,5, ,,
7,,CAP_ELECTROLYTICPANASONIC_C,C24,100uF/6V,PANASONIC_C,1, ,,
8,,DIODESOD-323,D3,1N4148,SOD-323,1, ,,
9,,DIODESOD-123,D1,MBR0540,SOD-123,1, ,,
10,,DIODESMA,D2,MM3Z24VT1G,SMADIODE,1, ,,
11,,FERRITE_0805MP,FB1 FB2 FB3 FB4 FB5 FB6 FB7 FB8,Ferrite,_0805MP,8, ,,
12,,AR1100_SSOP,IC1,AR1100_SSOP,TSSOP20-5.3MMBODY,1, ,,
13,,TFTLCD-40PIN-TTL-KD070,J1,TFTLCD-40PIN-TTL-KD070,TFTLCD-KD070GD21-40NT,1, ,,
14,,INDUCTORNR5040,L1,6.8uH,INDUCTOR_5X5MM_NR5040_NOTHERMALS,1, ,,
15,,LED0805_NOOUTLINE,LED3,Blue,CHIPLED_0805_NOOUTLINE,1, ,,
16,,LED0805_NOOUTLINE,LED2,Green,CHIPLED_0805_NOOUTLINE,1, ,,
17,,LED0805_NOOUTLINE,LED1,Red,CHIPLED_0805_NOOUTLINE,1, ,,
18,,MOSFET-NWIDE,Q1,BSS138,SOT23-WIDE,1, ,,
19,,RESISTOR0805_NOOUTLINE,R15 R17,6,0805-NO,2, ,,
20,,RESISTOR0805_NOOUTLINE,R16 R22,12,0805-NO,2, ,,
21,,RESISTOR_4PACK_US,R6 R7 R8 R9 R10 R11 R12,33,RESPACK_4X0603,7, ,,
22,,RESISTOR0805_NOOUTLINE,R14 R19 R20 R21,1K,0805-NO,4, ,,
23,,RESISTOR0805_NOOUTLINE,R1 R3 R4 R13 R18,10K,0805-NO,5, ,,
24,,RESISTOR_0805MP,R2 R5,10K,_0805MP,2, ,,
25,,EEPROM_I2C_MCP24AA32,U2,24LC02BT-I/OT,SOT23-5,1, ,,
26,,VREG_FAN5331,U4,FAN5333BSX,SOT23-5,1, ,,
27,,VREG_SOT223,U3,LT1117(3V3),SOT223-R,1, ,,
28,,TFP401,U1,TFP401,S-PQFP-G100,1, ,,
29,,HDMI_MOLEX_47151DIM,X1,47151-0001,HDMI_MOLEX_47151-0001_DIMLAYER,1, ,,
30,,USBMICRO_20329,X2,MicroUSB,4UCONN_20329,1, ,,
31,,RESONATORSMD,Y1,RESONATORSMD,RESONATOR-SMD,1, ,,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-32
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,31
Component Count:,79 (0 SMD/ 0 THT)
Fitted Components:,79 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,79
