"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP1";"1X10_ROUND";1;"";;;
2;"FID1,FID2,FID3";"FIDUCIAL_1MM";3;"FIDUCIAL""";;;
3;"U2";"LGA14";1;"LSM303DLHC";;;
4;"R4,R5,R7,R2,R3,R1,R6";"_0805MP";7;"10K";;;
5;"U$31,U$29,U$30,U$28";"MOUNTINGHOLE_2.5_PLATED_THICK";4;"MOUNTINGHOLE2.5_THICK";;;
6;"C2";"_0805MP";1;"470nF";;;
7;"C3";"_0805MP";1;"0.1uF";;;
8;"Q1,Q2";"SOT23-WIDE";2;"BSS138";;;
9;"C8,C9,C5";"_0805MP";3;"10uF";;;
10;"U1";"L3G4200D_LGA16L";1;"L3GD20";;;
11;"C1";"_0805MP";1;"10nF";;;
12;"C6";"_0805MP";1;"4.7uF";;;
13;"C7";"_0805MP";1;"0.22µF";;;
14;"U4";"SOT23-5";1;"MIC5225-3.3";;;
15;"U$25";"SYMBOL_GYROXYZ_10MM";1;"";;;
16;"U$8";"ADAFRUIT_5MM";1;"";;;
17;"U$26";"ADAFRUIT_TEXT_20MM";1;"";;;
