"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"SOT23-5";1;"AP2127K-3.3";;;
2;"PLABEL33";"PLABEL33";1;"";;;
3;"PLABEL8";"PLABEL8";1;"";;;
4;"PLABEL12";"PLABEL12";1;"";;;
5;"FID2,FID1";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
6;"C1";"0805_10MGAP";1;"10uF";;;
7;"PLABEL32";"PLABEL32";1;"";;;
8;"PLABEL31";"PLABEL31";1;"";;;
9;"PLABEL26";"PLABEL26";1;"";;;
10;"C5";"0603-NO";1;"0.1uF";;;
11;"X1";"QFN20_3MM";1;"ATTINY8X6_QFN";;;
12;"PLABEL25";"PLABEL25";1;"";;;
13;"PLABEL22";"PLABEL22";1;"";;;
14;"@HOLE0,@HOLE1";"";2;"";;;
15;"PLABEL6";"PLABEL6";1;"";;;
16;"PLABEL11";"PLABEL11";1;"";;;
17;"PLABEL20";"PLABEL20";1;"";;;
18;"PLABEL3";"PLABEL3";1;"";;;
19;"PLABEL10";"PLABEL10";1;"";;;
20;"PLABEL23";"PLABEL23";1;"";;;
21;"PLABEL18";"PLABEL18";1;"";;;
22;"JP2,JP4";"1X10_ROUND70";2;"";;;
23;"PLABEL5";"PLABEL5";1;"";;;
24;"CONN3,CONN4";"JST_SH4";2;"STEMMA_I2C_QT";;;
25;"PLABEL9";"PLABEL9";1;"";;;
26;"PLABEL24";"PLABEL24";1;"";;;
27;"PLABEL4";"PLABEL4";1;"";;;
28;"PLABEL17";"PLABEL17";1;"";;;
29;"PLABEL29";"PLABEL29";1;"";;;
30;"PLABEL21";"PLABEL21";1;"";;;
31;"R1";"0603-NO";1;"10K";;;
32;"PLABEL13";"PLABEL13";1;"";;;
33;"PLABEL28";"PLABEL28";1;"";;;
34;"PLABEL15";"PLABEL15";1;"";;;
35;"PLABEL0";"PLABEL0";1;"";;;
36;"D3";"CHIPLED_0603_NOOUTLINE";1;"Green";;;
37;"PLABEL27";"PLABEL27";1;"";;;
38;"PLABEL7";"PLABEL7";1;"";;;
39;"D4";"CHIPLED_0603_NOOUTLINE";1;"Red";;;
40;"PLABEL1";"PLABEL1";1;"";;;
41;"PLABEL14";"PLABEL14";1;"";;;
42;"PLABEL19";"PLABEL19";1;"";;;
43;"R6";"RESPACK_4X0603";1;"10K Pack";;;
44;"PLABEL2";"PLABEL2";1;"";;;
45;"C3";"0805-NO";1;"10uF";;;
46;"PLABEL30";"PLABEL30";1;"";;;
47;"PLABEL57";"PLABEL57";1;"";;;
48;"PLABEL36";"PLABEL36";1;"";;;
49;"PLABEL51";"PLABEL51";1;"";;;
50;"PLABEL42";"PLABEL42";1;"";;;
51;"PLABEL46";"PLABEL46";1;"";;;
52;"PLABEL43";"PLABEL43";1;"";;;
53;"PLABEL48";"PLABEL48";1;"";;;
54;"U$12";"PCBFEAT-REV-040";1;"";;;
55;"SJ1";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";1;"";;;
56;"PLABEL49";"PLABEL49";1;"";;;
57;"PLABEL38";"PLABEL38";1;"";;;
58;"PLABEL41";"PLABEL41";1;"";;;
59;"PLABEL35";"PLABEL35";1;"";;;
60;"PLABEL54";"PLABEL54";1;"";;;
61;"PLABEL40";"PLABEL40";1;"";;;
62;"PLABEL45";"PLABEL45";1;"";;;
63;"PLABEL56";"PLABEL56";1;"";;;
64;"PLABEL39";"PLABEL39";1;"";;;
65;"PLABEL50";"PLABEL50";1;"";;;
66;"PLABEL52";"PLABEL52";1;"";;;
67;"U$7";"SEESAW_LOGO";1;"";;;
68;"PLABEL58";"PLABEL58";1;"";;;
69;"PLABEL37";"PLABEL37";1;"";;;
70;"PLABEL47";"PLABEL47";1;"";;;
71;"PLABEL53";"PLABEL53";1;"";;;
72;"PLABEL55";"PLABEL55";1;"";;;
73;"PLABEL44";"PLABEL44";1;"";;;
