"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"@HOLE2,@HOLE1,@HOLE3,@HOLE0";"";4;"";;;
2;"JP1,JP2";"1X01-CLEANBIG";2;"";;;
3;"LED1";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
4;"U1";"BLUETOOTH_MODULE";1;"BlueFruit";;;
5;"JP5";"2X03_ROUND_70MIL";1;"";;;
6;"IC1";"SOT23-6";1;"74LVC2G34DBVR";;;
7;"R2";"0805-NO";1;"470";;;
8;"R1";"0805-NO";1;"10K";;;
9;"FID1,FID2,FID3";"FIDUCIAL_1MM";3;"FIDUCIAL""";;;
10;"U$3";"ADAFRUIT_2.5MM";1;"";;;
11;"R8,R10";"0805-NO";2;"220";;;
12;"JP4";"1X06-BIG";1;"";;;
13;"LED4,LED3";"CHIPLED_0805_NOOUTLINE";2;"Blue";;;
14;"R6";"_0805MP";1;"10K";;;
15;"C1,C4";"0805-NO";2;"10uF";;;
16;"R5";"0805-NO";1;"2.2K";;;
17;"D2";"SOD-123";1;"MBR120";;;
18;"SW1";"KMR2";1;"SPST_TACT-KMR2";;;
19;"U2";"SOT23-5";1;"MIC5225-3.3";;;
20;"SJ1";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";1;"";;;
21;"U$4";"BLUEFRUITLOGO_100MM";1;"";;;
22;"U$2";"ADAFRUIT_5MM";1;"";;;
23;"VBAT0";"JST-PH-2-SMT-RA";1;"JST-2PH";;;
