Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1 C34,10uF,0805-NO,2, ,
2,,STEMMA_I2C_QT,CONN1 CONN3,STEMMA_I2C_QT,JST_SH4,2, ,
3,,DIODE-ZENERSOD323,D1 D2,3.6V,SOD-323,2, ,
4,,CON_JST_PH_3PIN,NEOPIX0 SENSE0,JST PH 3,JSTPH3,2, ,
5,,RESISTOR_0603_NOOUT,R7 R8,1K,0603-NO,2, ,
6,,RASPBERRYPI_BPLUS_2X20_THMSMT_TOP,RPI3,RASPBERRYPI_BPLUS_2X20_THMSMT_TOP,RASPI_2X20_THMSMT_TOP,1, ,
7,,RASPBERRYPI_BPLUS_IDC,RPI1,RASPBERRYPI_BPLUS_IDC,2X20,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,12 (0 SMD/ 0 THT)
Fitted Components:,12 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,12
