"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"HTSSOP16";1;"DRV8833PWPR";;;
2;"U$14,U$13";"MOUNTINGHOLE_2.5_PLATED";2;"MOUNTINGHOLE2.5";;;
3;"JP3,JP2,JP4";"1X02_ROUND";3;"";;;
4;"FID2,FID1";"FIDUCIAL_1MM";2;"FIDUCIAL""";;;
5;"Q1";"SOT23-WIDE";1;"DMG3415U";;;
6;"U$15";"SYMBOL_PLUS";1;"";;;
7;"R1,R2";"_1206";2;"0.2Ω";;;
8;"C1,C4";"0805-NO";2;"10µF/16V";;;
9;"C3";"0805-NO";1;"0.1uF";;;
10;"C2";"0805-NO";1;"10µF";;;
11;"U$16";"SYMBOL_MINUS";1;"";;;
12;"J1";"TERMBLOCK_1X2-3.5MM";1;"VMOTORIN";;;
13;"JP5";"1X08_ROUND_70";1;"";;;
14;"SJ1";"SOLDERJUMPER_ARROW_NOPASTE";1;"ISENSEA";;;
15;"U$17";"ADAFRUIT_3.5MM";1;"";;;
16;"SJ2";"SOLDERJUMPER_ARROW_NOPASTE";1;"ISENSEB";;;
