"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$7,U$3,U$6,U$2";"MOUNTINGHOLE_2.5_PLATED";4;"MOUNTINGHOLE2.5";;;
2;"D1";"CHIPLED_0603_NOOUTLINE";1;"GREEN";;;
3;"IC1";"DFN10_3X3MM";1;"DS1841";;;
4;"R1";"0603-NO";1;"10K";;;
5;"CONN1,CONN2";"JST_SH4";2;"STEMMA_I2C_QT";;;
6;"JP1";"1X04_ROUND";1;"";;;
7;"JP2";"1X06_ROUND";1;"";;;
8;"C2";"0805-NO";1;"10uF";;;
9;"FID1,FID2";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
10;"C1";"0603-NO";1;"0.1uF";;;
11;"R5";"RESPACK_4X0603";1;"10K";;;
12;"U$8";"ADAFRUIT_3.5MM";1;"";;;
13;"SJ2,SJ1";"SOLDERJUMPER_ARROW_NOPASTE";2;"";;;
14;"U$11,U$10";"STEMMAQT";2;"";;;
15;"U$9";"PCBFEAT-REV-040";1;"";;;
