"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C10,C5,C4,C11";"0603-NO";4;"1uF";;;
2;"PLABEL21";"PLABEL21";1;"";;;
3;"U$32,U$31";"MOUNTINGHOLE_2.5_PLATED";2;"MOUNTINGHOLE2.5";;;
4;"PLABEL17";"PLABEL17";1;"";;;
5;"D4";"SOD-123";1;"MBR540";;;
6;"R10,R5,R4,R8,R2";"0603-NO";5;"5.1K";;;
7;"PLABEL30";"PLABEL30";1;"";;;
8;"PLABEL5";"PLABEL5";1;"";;;
9;"PLABEL23";"PLABEL23";1;"";;;
10;"PLABEL2";"PLABEL2";1;"";;;
11;"C2,C1,C8,C3,C7,C6,C12,C9";"0805-NO";8;"10uF";;;
12;"JP1";"1X16_ROUND_MIN";1;"";;;
13;"PLABEL31";"PLABEL31";1;"";;;
14;"R17";"0603-NO";1;"1Meg";;;
15;"PLABEL24";"PLABEL24";1;"";;;
16;"X2";"TDFN8_2X2MM";1;"MAX17048/T";;;
17;"PLABEL1";"PLABEL1";1;"";;;
18;"PLABEL7";"PLABEL7";1;"";;;
19;"PLABEL25";"PLABEL25";1;"";;;
20;"PLABEL15";"PLABEL15";1;"";;;
21;"PLABEL10";"PLABEL10";1;"";;;
22;"PLABEL11";"PLABEL11";1;"";;;
23;"PLABEL13";"PLABEL13";1;"";;;
24;"U$35,U$34";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
25;"U4";"BME280";1;"BME280";;;
26;"PLABEL18";"PLABEL18";1;"";;;
27;"R1";"0603-NO";1;"10K";;;
28;"U5,U2";"SOT23-5";2;"RT9080/AP2112-3.3";;;
29;"PLABEL8";"PLABEL8";1;"";;;
30;"R7,R12";"0603-NO";2;"100K";;;
31;"PLABEL12";"PLABEL12";1;"";;;
32;"R13";"RESPACK_4X0603";1;"10K Pack";;;
33;"PLABEL4";"PLABEL4";1;"";;;
34;"PLABEL22";"PLABEL22";1;"";;;
35;"Q1";"SC70";1;"BSS138";;;
36;"PLABEL20";"PLABEL20";1;"";;;
37;"PLABEL14";"PLABEL14";1;"";;;
38;"SW2,SW3,SW4,SW1,SW5";"BTN_RKB2_4.6X2.8";5;"KMR2";;;
39;"PLABEL27";"PLABEL27";1;"";;;
40;"PLABEL16";"PLABEL16";1;"";;;
41;"U3";"SOT23-5";1;"MCP73831T-2ACI/OT";;;
42;"PLABEL28";"PLABEL28";1;"";;;
43;"PLABEL26";"PLABEL26";1;"";;;
44;"D3";"CHIPLED_0603_NOOUTLINE";1;"RED";;;
45;"@HOLE0,@HOLE1";"";2;"";;;
46;"R9";"0603-NO";1;"22ohm";;;
47;"PLABEL3";"PLABEL3";1;"";;;
48;"PLABEL6";"PLABEL6";1;"";;;
49;"CHG0";"CHIPLED_0603_NOOUTLINE";1;"ORANGE";;;
50;"PLABEL0";"PLABEL0";1;"";;;
51;"Q3";"SOT23-R";1;"DMG3415U";;;
52;"PLABEL29";"PLABEL29";1;"";;;
53;"U1";"ESP32-S2-MINI-1";1;"ESP32-S2-MODULE_MINI";;;
54;"X3";"USB_C_CUSB31-CFM2AX-01-X";1;"USB C";;;
55;"X1";"JSTPH2_BATT";1;"JSTPH";;;
56;"PLABEL19";"PLABEL19";1;"";;;
57;"JP3";"1X12_ROUND_MIN";1;"";;;
58;"LED1";"SK6805_1515";1;"WS2812B_SK6805_1515";;;
59;"PLABEL9";"PLABEL9";1;"";;;
60;"CONN1";"JST_SH4_RA";1;"STEMMA_I2C_QTRA";;;
61;"PLABEL34";"PLABEL34";1;"";;;
62;"PLABEL32";"PLABEL32";1;"";;;
63;"DISP1";"TFT_1.14IN_240X135_WRAPUNDER";1;"DISP_LCD_GENERIC_SPI_1.14IN_240X135_WRAPUNDER";;;
64;"TP1";"TESTPOINT_ROUND_1.5MM_NO";1;"";;;
65;"PLABEL36";"PLABEL36";1;"";;;
66;"PLABEL35";"PLABEL35";1;"";;;
67;"PLABEL33";"PLABEL33";1;"";;;
