Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0603_NO,C2 C4,22pF,0603-NO,2, ,
2,,CAP_CERAMIC0603_NO,C7 C10 C11 C12 C14 C15,1uF,0603-NO,6, ,
3,,CAP_CERAMIC0805-NOOUTLINE,C3 C5 C6 C8 C13,10µF,0805-NO,5, ,
4,,LED0805_NOOUTLINE,CHG0,ORANGE,CHIPLED_0805_NOOUTLINE,1, ,
5,,DIODE-SCHOTTKYSOD-123,D4,MBR120,SOD-123,1, ,
6,,"TPB1,27",D+0 D-0,"TPB1,27","B1,27",2, ,
7,,HEADER-1X12,JP3,HEADER-1X12,1X12_ROUND,1, ,
8,,HEADER-1X16ROUND,JP1,HEADER-1X16ROUND,1X16_ROUND,1, ,
9,,INDUCTOR,L2,10uH,INDUCTOR_1007,1, ,
10,,LED0805_NOOUTLINE,L0,RED,CHIPLED_0805_NOOUTLINE,1, ,
11,,WS2812B3535,LED1,WS2812B3535,LED3535,1, ,
12,,MOSFET-P,Q3,DMG341,SOT23-R,1, ,
13,,RESISTOR_0603_NOOUT,R2,1K,0603-NO,1, ,
14,,RESISTOR_0603_NOOUT,R7,2.2K,0603-NO,1, ,
15,,RESISTOR_0603_NOOUT,R3 R4 R5 R6,10K,0603-NO,4, ,
16,,RESISTOR_4PACK_NO,R9,100K,RESPACK_4X0603_NO,1, ,
17,,RESISTOR_0603_NOOUT,R8,10K\,0603-NO,1, ,
18,,SWITCH_TACT_SMT4.6X2.8,SW1,KMR2,BTN_KMR2_4.6X2.8,1, ,
19,,SPIFLASH_8PINUX,U1,2MB Flash,USON8,1, ,
20,,VREG_SOT23-5,U2,AP2112-3.3,SOT23-5,1, ,
21,,MCP73831/2,U3,MCP73831T-2ACI/OT,SOT23-5,1, ,
22,,ATSAMD51J,U$14,ATSAMD51J,PQFN64-1,1, ,
23,,XTAL-3.2X1.5,X2,32.768,XTAL3215,1, ,
24,,CON_JST_PH_2PIN,X1,JSTPH,JSTPH2,1, ,
25,,USB_MICRO_20329_V2,X3,microUSB,4UCONN_20329_V2,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,25
Component Count:,39 (0 SMD/ 0 THT)
Fitted Components:,39 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,39
