"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R6,R4,R5";"R0805";3;"1K";;;
2;"U$3";"ADAFRUIT_2.5MM";1;"";;;
3;"IO9,GNDTAP0,D6,SCL0,UNK3V3TAP2,UNK3.3VTAP0,GND3TAP0,IO12,TX0,VCC2,RX0,SDA0,GNDTAP2,IO10";"SEWINGTAP_2.0";14;"SEWTAP-2.0IN";;;
4;"C3,C2";"C0805K";2;"18pF";;;
5;"C9,C4,C8,C7,C6,C5";"C0805K";6;"10uF";;;
6;"U$6,U$2";"FIDUCIAL_1MM";2;"FIDUCIAL";;;
7;"R2,R1";"R0805";2;"22";;;
8;"R3";"R0805";1;"470";;;
9;"TXLED0,RXLED0";"CHIPLED_0805";2;"YELLOW";;;
10;"PWR0";"CHIPLED_0805";1;"GREEN";;;
11;"R9,R7";"R0805";2;"10K";;;
12;"D1,D2";"SOD-123";2;"SCHOTTKY";;;
13;"IC1";"TQFP44";1;"ATMEGA32U4-AU";;;
14;"L0";"CHIPLED_0805";1;"RED";;;
15;"IC2";"SOT23-5L";1;"LP2985-3.3v";;;
16;"ON/OFF0";"EG1390";1;"EG1390";;;
17;"L1";"R1206";1;"500mA";;;
18;"R8";"R0805";1;"150K";;;
19;"T1";"SOT-23";1;"IRLML2246";;;
20;"BOOT0";"KMR2";1;"SPST_TACT-KMR2";;;
21;"JP1";"2X03";1;"ICSP";;;
22;"CN1";"USB-MINIB_LARGER";1;"MiniB USB";;;
23;"BATT0";"JST-PH-2-SMT-RA";1;"3-9VDC";;;
24;"X3";"NX5032";1;"8MHz";;;
25;"U$4";"FLORAMED";1;"";;;
