Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","0805-NO",136.6901,-111.0996,180.0000,top
"C2","0.1uF","0603-NO",153.4160,-98.8695,90.0000,top
"C3","10uF","0805-NO",139.7381,-103.7336,180.0000,top
"C4","10uF","0805-NO",140.2461,-109.8296,180.0000,top
"C5","10uF","0805-NO",143.6751,-99.1616,180.0000,top
"C6","0.1uF","0603-NO",143.9291,-100.6856,180.0000,top
"C7","0.1uF","0603-NO",140.6271,-111.3536,180.0000,top
"C8","0.1uF","0603-NO",151.8920,-98.8695,90.0000,top
"C9","0.1uF","0603-NO",162.4711,-110.2106,-90.0000,top
"C10","10µF","0805-NO",160.8201,-110.3376,-90.0000,top
"CONN1","STEMMA_I2C_QT","JST_SH4",165.0111,-105.0036,90.0000,top
"FB1","Ferrite","_0805",139.7381,-101.8286,180.0000,top
"FB2","Ferrite","_0805",140.1191,-107.9246,0.0000,top
"FID1","FIDUCIAL""","FIDUCIAL_1MM",130.4163,-111.1758,0.0000,top
"FID2","FIDUCIAL""","FIDUCIAL_1MM",166.4081,-99.2886,0.0000,top
"IC1","93LC56B","SOT23-6",147.9875,-98.9257,90.0000,top
"IC2","FT232HQ","QFN48_8MM",146.7231,-106.4006,0.0000,top
"JP1","","1X11_ROUND",148.5011,-115.1636,0.0000,top
"JP2","","1X11_ROUND",148.5011,-94.8436,180.0000,top
"LED1","green","CHIPLED_0805_NOOUTLINE",157.8991,-99.1616,90.0000,top
"LED2","red","CHIPLED_0805_NOOUTLINE",161.5821,-99.1616,90.0000,top
"Q1","12MHz","RESONATOR-SMD",140.1191,-99.1616,180.0000,top
"R1","12K","0603-NO",155.2575,-99.0600,90.0000,top
"R2","12K 1%","0603-NO",140.1191,-105.2576,180.0000,top
"R3","1K","0603-NO",157.7721,-97.7646,0.0000,top
"R4","1K","0603-NO",161.0741,-97.7646,0.0000,top
"R5","2.2K","0603-NO",150.3734,-98.8713,-90.0000,top
"R6","5.1K","0603-NO",135.8011,-99.1616,180.0000,top
"R7","12K","0603-NO",135.8011,-97.6376,0.0000,top
"R8","5.1K","0603-NO",133.3881,-110.9726,180.0000,top
"R9","5.1K","0603-NO",131.7371,-99.1616,0.0000,top
"R10","12K","0603-NO",162.8521,-100.8126,0.0000,top
"R11","12K","0603-NO",164.8841,-109.4486,180.0000,top
"SW1","","EG1390",157.6451,-105.0036,90.0000,top
"U2","AP2112-3.3","SOT23-5",157.7721,-110.4646,-90.0000,top
"U$2","","ADAFRUIT_3.5MM",151.6126,-112.6236,0.0000,top
"U$4","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",131.9911,-96.1136,0.0000,top
"U$5","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",131.9911,-113.8936,0.0000,top
"U$6","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",165.0111,-96.1136,0.0000,top
"U$7","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",165.0111,-113.8936,0.0000,top
"X6","USBC","USB_C_CUSB31-CFM2AX-01-X",132.6261,-105.0036,-90.0000,top
