"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R1,R3,R4,R5";"0603-NO";4;"10K";;;
2;"JP1";"1X05_ROUND_70";1;"";;;
3;"FID3,FID4";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
4;"C1";"0603-NO";1;"0.1uF";;;
5;"U$11,U$15,U$14,U$12";"MOUNTINGHOLE_2.5_PLATED";4;"MOUNTINGHOLE2.5";;;
6;"IC1";"PG-USON10-10-2";1;"";;;
7;"D1";"CHIPLED_0603_NOOUTLINE";1;"GREEN";;;
8;"CONN3,CONN4";"JST_SH4";2;"STEMMA_I2C_QT";;;
9;"C2";"0805-NO";1;"10uF";;;
10;"U$17";"ADAFRUIT_3.5MM";1;"";;;
11;"U$18";"PCBFEAT-REV-040";1;"";;;
12;"U$19,U$20";"STEMMAQT";2;"";;;
