Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC_0603MP,C1,1uF,_0603MP,1, ,
2,,CAP_CERAMIC0603_NO,C5 C7 C14,1uF,0603-NO,3, ,
3,,CAP_CERAMIC0805-NOOUTLINE,C6 C8,10µF,0805-NO,2, ,
4,,CAP_CERAMIC_0805MP,C9,10uF,_0805MP,1, ,
5,,DIODE_SOD-123FL,D1 D2,MBR120,SOD-123FL,2, ,
6,,741G125DBV,IC1,741G125DBV,SOT23-5,1, ,
7,,ATSAMD51G_TQFN48,IC2,ATSAMD51G_TQFN48,TQFN48_7MM,1, ,
8,,HEADER-1X14,JP2 JP4,HEADER-1X14,1X14_ROUND70,2, ,
9,,HEADER-1X570MIL,JP1,HEADER-1X570MIL,1X05_ROUND_70,1, ,
10,,APA1022020,L2,AP102-2020,APA102_2020,1, ,
11,,LED0603_NOOUTLINE,L0,RED,CHIPLED_0603_NOOUTLINE,1, ,
12,,RESISTOR_0603MP,R3,2.2K,_0603MP,1, ,
13,,RESISTOR_0603_NOOUT,R7,2.2K,0603-NO,1, ,
14,,RESISTOR_0603MP,R4,10K,_0603MP,1, ,
15,,RESISTOR_0603_NOOUT,R1 R2,100k,0603-NO,2, ,
16,,SPST_TACT-KMR2,SW1,SPST_TACT-KMR2,KMR2,1, ,
17,,VREG_SOT23-5,U2,AP2112K-3.3,SOT23-5,1, ,
18,,SPIFLASH_8PINUX,U1,GD25x16,USON8,1, ,
19,,USB_MICRO_20329_V2,X3,microUSB,4UCONN_20329_V2,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,19
Component Count:,25 (0 SMD/ 0 THT)
Fitted Components:,25 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,25
