"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FID1,FID2";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
2;"UP0,LEFT0,DOWN0,RIGHT0";"EVQ-Q2_SMALLER";4;"6mm";;;
3;"R4";"0603-NO";1;"10k";;;
4;"U$9,U$11";"ADAFRUIT_5MM";2;"";;;
5;"IC1";"QFN24_4MM";1;"ATSAMD09D14A-MU";;;
6;"D1";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
7;"SW6,SW7";"BTN_KMR2_4.6X2.8";2;"KMR2";;;
8;"R2,R5";"0603-NO";2;"1k";;;
9;"R3";"0603-NO";1;"10K";;;
10;"MS1";"FEATHERWING";1;"FEATHERWING";;;
11;"JOY1";"JOYSTICK_ANALOG_MINITHM";1;"JOYSTICK_ANALOG_XY";;;
12;"SJ5,SJ6,SJ2,SJ7,SJ9,SJ3,SJ1,SJ8,SJ4";"SOLDERJUMPER_ARROW_NOPASTE";9;"";;;
13;"U$10";"FEATHERLOGO_MED";1;"";;;
14;"TP2,TP1";"TESTPOINT_ROUND_2MM";2;"";;;
15;"U$12";"SEESAW_LOGO";1;"";;;
16;"U$7";"PCBFEAT-REV-040";1;"";;;
