"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"X1,X2";"JSTPH2_BATT";2;"JST 2 PH";;;
2;"CONN3,CONN4";"JST_SH4";2;"STEMMA_I2C_QT";;;
3;"U$22";"ADAFRUIT_3.5MM";1;"";;;
4;"C1";"0603-NO";1;"1uF";;;
5;"D1";"CHIPLED_0603_NOOUTLINE";1;"GREEN";;;
6;"JP1";"1X06_ROUND_70";1;"";;;
7;"U$21,U$19";"MOUNTINGHOLE_2.5_PLATED";2;"MOUNTINGHOLE2.5";;;
8;"R4";"0603-NO";1;"100";;;
9;"R3";"RESPACK_4X0603";1;"10K";;;
10;"@HOLE0,@HOLE1";"";2;"";;;
11;"FID3,FID4";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
12;"IC1";"WDFN8_3X4_0.65";1;"LC709203F";;;
13;"R1";"0603-NO";1;"10K";;;
14;"U$25";"PCBFEAT-REV-040";1;"";;;
15;"U$31,U$30";"STEMMAQT";2;"";;;
16;"SJ1";"SOLDERJUMPER_CLOSEDWIRE";1;"";;;
