"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C8,C9,C3,C2";"0805-NO";4;"10uF";;;
2;"R9";"RESPACK_4X0603";1;"10K";;;
3;"SJ5,SJ4,SJ3,SJ2,SJ1";"SOLDERJUMPER_CLOSEDWIRE";5;"";;;
4;"C4";"0603-NO";1;"0.1uF";;;
5;"TP3,TP5,TP6,TP1,TP9,TP2,TP4,TP7,TP8";"TESTPOINT_ROUND_1.5MM";9;"";;;
6;"IC1";"SOT23-6";1;"AP3602";;;
7;"U$17,U$19,U$21,U$3";"MOUNTINGHOLE_2.5_PLATED";4;"MOUNTINGHOLE2.5";;;
8;"IC2";"QFN24_4MM";1;"ATTINY8X7-MU";;;
9;"FID1,FID2,FID3,FID4";"FIDUCIAL_1MM";4;"FIDUCIAL_1MM";;;
10;"R2,R5,R4,R6";"0603-NO";4;"100";;;
11;"Q1,Q3";"SOT363";2;"BSS138";;;
12;"R1,R8,R7,R3";"0603-NO";4;"10K";;;
13;"CONN3,CONN4";"JST_SH4";2;"STEMMA_I2C_QT";;;
14;"C10";"0805-NO";1;"1uF";;;
15;"D2";"CHIPLED_0603_NOOUTLINE";1;"GREEN";;;
16;"U$30,U$31,U$53";"STEMMAQT";3;"";;;
17;"U$9,U$52,U$2";"ADAFRUIT_3.5MM";3;"";;;
18;"JP1,JP5";"1X06_ROUND_70";2;"";;;
19;"U$25";"PCBFEAT-REV-040";1;"";;;
20;"U$20,U$23,U$26,U$50,U$16,U$15,U$24,U$7";"SYMBOL_PLUS";8;"";;;
21;"U$45,U$49,U$46,U$1,U$47,U$14,U$48,U$8";"SYMBOL_MINUS";8;"";;;
22;"X3,X6,X2,X8,X4,X7,X5,X1";"JST-XH-2-SV";8;"CON_JST_XH_2PIN-VERT";;;
