"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$16";"SYMBOL_FCC_TINY";1;"";;;
2;"R3,R12,R9,R1,R11,R10,R6";"0805-NO";7;"1K";;;
3;"U1";"SOT223-R";1;"NCP1117ST50T3G";;;
4;"C4,C15,C6,C5,C12,C2,C13,C9";"0805-NO";8;"0.1uF";;;
5;"D2";"SOD-323";1;"1N4148";;;
6;"U$4";"METROSILK_CP2104_TOP";1;"";;;
7;"@HOLE2,@HOLE0,@HOLE1,@HOLE3";"";4;"";;;
8;"FD1,FD3,FD2";"FIDUCIAL_1MM";3;"FIDUCIAL_1MM";;;
9;"R16,R13,R14,R15,R7";"0805-NO";5;"10K";;;
10;"SW2";"SPDT_SMT_SSSS811101";1;"";;;
11;"IOL0,POWER0";"1X08_OVAL";2;"20610";;;
12;"JP1";"1X01_ROUND";1;"";;;
13;"ICSP0";"2X03_ROUND_70MIL";1;"3x2 M";;;
14;"ZU4";"TQFP32-08";1;"ATMEGA328P-AU";;;
15;"FB2,FB1";"0805-NO";2;"FERRITE";;;
16;"IOH0";"1X10_OVAL";1;"20611";;;
17;"RXLED0,TXLED0";"CHIPLED_0805_NOOUTLINE";2;"YELLOW";;;
18;"RESET0";"EVQ-Q2";1;"6mm";;;
19;"VSELECT0";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";1;"";;;
20;"F2";"1206-NO";1;"500mA";;;
21;"U5";"MSOP08";1;"LMV358IDGKR";;;
22;"U4";"SOT23-5";1;"AP2112-3.3";;;
23;"ON0";"CHIPLED_0805_NOOUTLINE";1;"GREEN";;;
24;"T2,T1";"SOT-23";2;"DMP3098L";;;
25;"Y2";"RESONATOR";1;"CSTCE16M0V53-R0 16MHZ";;;
26;"X2";"DCJACK_2MM_PTH";1;"";;;
27;"U$15";"PCBFEAT-REV-040";1;"";;;
28;"U$14";"METROSILK_BOT";1;"";;;
29;"U3";"QFN24_4MM_SMSC";1;"CP2104";;;
30;"PC2";"PANASONIC_D";1;"47uF+/6.3V+";;;
31;"L0";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
32;"C10";"0805_10MGAP";1;"0.1uF";;;
33;"PC1";"PANASONIC_D";1;"47uF/25V";;;
34;"C1,C3,C7";"0805-NO";3;"10uF";;;
35;"D1";"SOD-123";1;"MBR120";;;
36;"X3";"4UCONN_20329_V2";1;"20329";;;
37;"U$17";"SYMBOL_CE_TINY";1;"";;;
38;"R8";"_0805MP";1;"10K";;;
39;"AD0";"1X06_OVAL";1;"20609";;;
40;"RESET-EN0";"SOLDERJUMPER_CLOSEDWIRE";1;"";;;
41;"GROUND1";"SJ";1;"";;;
