"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3";"0603-NO";1;"470";;;
2;"U$8";"PCBFEAT-REV-040";1;"";;;
3;"R4";"0603-NO";1;"10";;;
4;"R5,R6";"0603-NO";2;"2.2K";;;
5;"D2,D3";"CHIPLED_0603";2;"BLUE";;;
6;"R1";"0603-NO";1;"33";;;
7;"FID1,FID2";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
8;"OK2";"DIL6-SMD";1;"H11L1MS";;;
9;"U$9";"FEATHERLOGO_SMALL";1;"";;;
10;"R2";"0603-NO";1;"220";;;
11;"D1";"SOD-323";1;"1N4148";;;
12;"MIDIOUT0,MIDIIN0";"CP-2350";2;"DIN_5";;;
13;"X2,X1";"STX3100";2;"3.5mm";;;
14;"MS1";"FEATHERWING_NODIM";1;"FEATHERWING_NODIM";;;
