"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"CHIPLED_0603_NOOUTLINE";1;"GREEN";;;
2;"R2,R4";"0603-NO";2;"10K";;;
3;"R3";"RESPACK_4X0603";1;"10K";;;
4;"U$40,U$39,U$43,U$42";"MOUNTINGHOLE_2.5_PLATED";4;"MOUNTINGHOLE2.5";;;
5;"FID3,FID4";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
6;"JP3";"1X06_ROUND_70";1;"";;;
7;"C7,C2";"0603-NO";2;"0.1uF";;;
8;"C1";"0603-NO";1;"2.2nF";;;
9;"C6,C5";"0805-NO";2;"10uF";;;
10;"U3";"SOT23-5";1;"AP2112K-3.3";;;
11;"U1";"QFN24_4MM_SMSC";1;"MPU-6050";;;
12;"JP2";"1X06_ROUND";1;"";;;
13;"CONN4,CONN3";"JST_SH4";2;"STEMMA_I2C_QT";;;
14;"Q2";"SOT363";1;"BSS138";;;
15;"SJ3";"SOLDERJUMPER_ARROW_NOPASTE";1;"";;;
16;"U$48,U$47";"STEMMAQT";2;"";;;
17;"SJ2";"SOLDERJUMPER_CLOSEDWIRE";1;"FSYNC";;;
18;"U$46";"PCBFEAT-REV-040";1;"";;;
19;"SJ1";"SOLDERJUMPER_CLOSEDWIRE";1;"CLKIN";;;
