"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"E$28";"2010";1;"";;;
2;"E$1,E$4,E$5,E$7,E$13,E$9,E$14,E$15,E$3,E$2,E$6,E$12,E$10,E$11,E$8";"EDGE-MILLIMETERS";15;"";;;
3;"E$62,E$24";"0603";2;"";;;
4;"E$37";"CRYSTAL-SMD-3.2X2.5";1;"";;;
5;"E$27";"1210";1;"";;;
6;"E$46";"ALL-HOLES";1;"";;;
7;"E$63,E$60,E$16";"0201";3;"";;;
8;"E$30";"D2PAK";1;"";;;
9;"E$61,E$23";"0402";2;"";;;
10;"E$52";"DIODE-SYMB";1;"";;;
11;"E$51";"PMOS-SYMB";1;"";;;
12;"E$44";"SMB-DIODE";1;"";;;
13;"E$57";"SO08";1;"";;;
14;"E$41";"MICROMELF-R";1;"";;;
15;"E$50";"NMOS-SYMB";1;"";;;
16;"E$29";"DPAK";1;"";;;
17;"E$56";"TSSOP16";1;"";;;
18;"E$20,E$19,E$21,E$17,E$22,E$18";"EDGE-INCHES-EIGTH";6;"";;;
19;"E$40";"XTAL-2X1.2";1;"";;;
20;"E$47";"SOD-128";1;"";;;
21;"E$42";"SC79_INFINEON";1;"";;;
22;"E$25";"0805";1;"";;;
23;"E$53";"LED-GUIDE";1;"";;;
24;"E$49";"SOD80C";1;"";;;
25;"E$55";"QFN-24";1;"";;;
26;"E$36";"CRYSTAL-SMD-5X3.2";1;"";;;
27;"E$59";"PNP-SYMB";1;"";;;
28;"E$43";"SMA-DIODE";1;"";;;
29;"E$33";"SOT23-5";1;"";;;
30;"E$31";"SOT223";1;"";;;
31;"E$26";"1206";1;"";;;
32;"E$54";"NPN-SYMB";1;"";;;
33;"E$34";"SOT23-3";1;"";;;
34;"E$45";"SMC";1;"";;;
35;"E$32";"SOT89";1;"";;;
36;"E$39";"HC49UP";1;"";;;
37;"E$48";"SOD-323";1;"";;;
38;"E$38";"CRYSTAL-SMD-2.5X2";1;"";;;
39;"E$35";"SC70";1;"";;;
40;"E$58,E$70";"TQFP32-5MM";2;"";;;
41;"E$71";"BGA-96-14X8MM";1;"";;;
42;"E$68";"TQFP-100-12X12MM";1;"";;;
43;"E$65";"TQFP100";1;"";;;
44;"E$67";"BGA-0.8MM-P-19X19";1;"";;;
45;"E$72";"ADAFRUIT-LOGO-0.5IN";1;"";;;
46;"E$69";"TQFP32-08";1;"";;;
47;"E$66";"TSOP-66";1;"";;;
