"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3";"0805-NO";3;"10uF";;;
2;"ON/OFF0";"EG1390";1;"EG1390";;;
3;"T2";"SOT-23";1;"DMG3415U";;;
4;"D1";"CHIPLED_0603_NOOUTLINE";1;"RED";;;
5;"R1,R2";"0603-NO";2;"2.2K";;;
6;"X1";"4UCONN_20329_V2";1;"20329";;;
7;"FID1,FID2,FID3,FID4";"FIDUCIAL_1MM";4;"FIDUCIAL_1MM";;;
8;"D3";"CHIPLED_0603_NOOUTLINE";1;"GREEN";;;
9;"U$18";"MOUNTINGHOLE_3.0_PLATEDTHIN";1;"MOUNTINGHOLE3.0THIN";;;
10;"D2";"CHIPLED_0603_NOOUTLINE";1;"YELLOW";;;
11;"R7,R3";"0603-NO";2;"10K";;;
12;"U$8";"ADAFRUIT_2.5MM";1;"";;;
13;"U$9";"RASPBERRYPI_2X5_THMSMT";1;"RASPBERRYPI_2X5";;;
14;"C4";"0603-NO";1;"0.1uF";;;
15;"U1";"QFN24_4MM_SMSC";1;"CP2104";;;
16;"SJ1";"SOLDERJUMPER_CLOSEDWIRE";1;"";;;
17;"U$17";"PCBFEAT-REV-040";1;"";;;
