Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,BOM
1,,BATTERY,B1,JST 2-PH,JSTPH2,1, ,,
2,,CAP_CERAMIC0805_10MGAP,C4,0.1uF,0805_10MGAP,1, ,,
3,,CAP_CERAMIC0805-NOOUTLINE,C2,2.2uF,0805-NO,1, ,,
4,,CAP_CERAMIC0805-NOOUTLINE,C1 C7 C8,10uF,0805-NO,3, ,,
5,,C-USC1210,C6,100uF,C1210,1, ,,
6,,LED0805_NOOUTLINE,CHRG/LBO0,ORANGE,CHIPLED_0805_NOOUTLINE,1, ,,
7,,USBMICRO_20329,CN4,MicroUSB,4UCONN_20329,1, ,,
8,,USB_TYPEAPTHFML,CN1,USBA_FEMALE,USB_HOST-PTH,1, ,,
9,,LED0805_NOOUTLINE,DONE0,GREEN,CHIPLED_0805_NOOUTLINE,1, ,,
10,,HEADER-1X8ROUND,JP2,HEADER-1X8ROUND,1X08_ROUND,1, ,,
11,,INDUCTORTDK_VLC5045,L1,6.8uH,INDUCTOR_5X5MM_TDK_VLC5045,1, ,,
12,,LED0805_NOOUTLINE,LED2,BLUE,CHIPLED_0805_NOOUTLINE,1, ,,
13,,LED0805_NOOUTLINE,LED1,RED,CHIPLED_0805_NOOUTLINE,1, ,,
14,,RESISTOR0805_NOOUTLINE,R5 R8 R14 R16 R20,1K,0805-NO,5, ,,
15,,RESISTOR0805_NOOUTLINE,R9,43K,0805-NO,1, ,,
16,,RESISTOR0805_NOOUTLINE,R10 R12,49.9K,0805-NO,2, ,,
17,,RESISTOR0805_NOOUTLINE,R11,75K 1%,0805-NO,1, ,,
18,,RESISTOR0805_NOOUTLINE,R7 R17,100K,0805-NO,2, ,,
19,,RESISTOR0805_NOOUTLINE,R4 R13,200K,0805-NO,2, ,,
20,,RESISTOR0805_NOOUTLINE,R6,270K,0805-NO,1, ,,
21,,RESISTOR_0805MP,R2,340K,_0805MP,1, ,,
22,,RESISTOR_0805MP,R1,1.87M,_0805MP,1, ,,
23,,RESISTOR0805_NOOUTLINE,R3,1.87M,0805-NO,1, ,,
24,,-PNP_DRIVER-SC59-BEC,T1,MMUN2133LT1G,SC59-BEC,1, ,,
25,,RESISTOR0805_NOOUTLINE,THERM0,15K,0805-NO,1, ,,
26,,MCP73871,U2,MCP73871,QFN20_4MM,1, ,,
27,,VREG_TPS6103X,U1,TPS61090RSAR,PVQFN-16,1, ,,
28,,TERMBLOCK_1X2,X1,TERMBLOCK_1X2,TERMBLOCK_1X2-3.5MM,1, ,,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,28
Component Count:,37 (0 SMD/ 0 THT)
Fitted Components:,37 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,37
