Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,LED0805_NOOUTLINE,B1,red,CHIPLED_0805_NOOUTLINE,1, ,
2,,CON_JST_PH_2PIN,BAT0,JST 2-PH,JSTPH2,1, ,
3,,CAP_CERAMIC_0805MP,C2,0.1uF,_0805MP,1, ,
4,,CAP_CERAMIC0805-NOOUTLINE,C3,0.1uF,0805-NO,1, ,
5,,CAP_CERAMIC0805-NOOUTLINE,C1 C8,10uF,0805-NO,2, ,
6,,USBMICRO_20329,CN1,USBMICRO_20329,4UCONN_20329,1, ,
7,,DIODESOD-323,D1 D4,3.6v,SOD-323,2, ,
8,,DIODE_SOD-123FL,D2,SCHOTTKY,SOD-123FL,1, ,
9,,PINHD-1X6CB,FTDI0,PINHD-1X6CB,1X06-CLEANBIG,1, ,
10,,LP298XS,IC2,LP298XS,SOT23-5L,1, ,
11,,MEGA8-MI,IC1,MEGA8-MI,MLF32-TH,1, ,
12,,HEADER-1X2ROUND,JP2,HEADER-1X2ROUND,1X02_ROUND,1, ,
13,,PINHD-1X12-CB,JP1 JP4,PINHD-1X12-CB,1X12-CB,2, ,
14,,LED0805_NOOUTLINE,PWR0,green,CHIPLED_0805_NOOUTLINE,1, ,
15,,SWITCH_TACT_SMT4.6X2.8,Q1,reset,BTN_KMR2_4.6X2.8,1, ,
16,,RESISTOR0805_NOOUTLINE,R6,10K,0805-NO,1, ,
17,,RESISTOR_0603_NOOUT,R3,1.5K (0603),0603-NO,1, ,
18,,RESISTOR_0603_NOOUT,R4 R5,470 (0603),0603-NO,2, ,
19,,RESISTOR_0603_NOOUT,R1 R2,68 (0603),0603-NO,2, ,
20,,RESONATORSMD,Y1,RESONATORSMD,RESONATOR-SMD,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,20
Component Count:,25 (0 SMD/ 0 THT)
Fitted Components:,25 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,25
