Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,BOM
1,,CAP_CERAMIC0805-NOOUTLINE,C2 C3,20pF,0805-NO,2, ,,
2,,CAP_CERAMIC0805-NOOUTLINE,C1 C4 C5 C6 C7 C8 C9 C10 C11 C12,0.1uF,0805-NO,10, ,,
3,,CAP_CERAMIC_0805MP,C18,0.1uF,_0805MP,1, ,,
4,,CAP_CERAMIC_0805MP,C17 C20,1uF,_0805MP,2, ,,
5,,CAP_CERAMIC_0805MP,C16 C19 C21 C22,10uF,_0805MP,4, ,,
6,,DIODESOD-323F,D3 D4,1N4148,SOD-323F,2, ,,
7,,DIODESOD-123,D2,MBR0540,SOD-123,1, ,,
8,,DIODESMA,D1,MM3Z24VT1G,SMADIODE,1, ,,
9,,FERRITE_0805MP,FB2,Ferrite,_0805MP,1, ,,
10,,40PINFPC4-1734839-0,J1,40PINFPC4-1734839-0,4-1734839-0,1, ,,
11,,PINHD-1X15-CB,JP1,Breakout,1X15-CB,1, ,,
12,,INDUCTORNR5040,L1,6.8uH large inductor,INDUCTOR_5X5MM_NR5040_NOTHERMALS,1, ,,
13,,RESISTOR_0805MP,R1,3Ω,_0805MP,1, ,,
14,,RESISTOR_0805MP,R9 R10,12Ω,_0805MP,2, ,,
15,,RESISTOR_4PACK_US,R4 R5 R6 R7 R8,33,RESPACK_4X0603,5, ,,
16,,RESISTOR_0805MP,R11,10K,_0805MP,1, ,,
17,,RESISTOR0805_NOOUTLINE,R12,10K,0805-NO,1, ,,
18,,RESISTOR0805_NOOUTLINE,R3,1M,0805-NO,1, ,,
19,,74HC4050D,U5,74HC4050,SOIC16,1, ,,
20,,FAN5331,U3,FAN5333BSX,SOT23-5@1,1, ,,
21,,VREG_SOT23-5,U4,MIC5225-3.3v,SOT23-5,1, ,,
22,,RA8875,U1,RA8875,LQFP100,1, ,,
23,,CRYSTAL3.2X2.5,Y1,20MHz,CRYSTAL_3.2X2.5,1, ,,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,23
Component Count:,43 (0 SMD/ 0 THT)
Fitted Components:,43 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,43
