Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C0805K",144.1831,-111.6076,180.0000,top
"FID1","FIDUCIAL""","FIDUCIAL_1MM",154.7241,-96.8756,0.0000,top
"FID2","FIDUCIAL""","FIDUCIAL_1MM",148.1201,-113.6396,0.0000,top
"IC1","AT42QT1070-SSU","SO14",147.9931,-104.3686,90.0000,top
"JP1","","1X06-CLEANBIG",158.6611,-105.1306,90.0000,top
"JP3","","1X06-CLEANBIG",138.3411,-105.1306,-90.0000,top
"LED1","","CHIP-LED0805",154.7241,-108.9406,-90.0000,top
"LED2","","CHIP-LED0805",154.7241,-106.4006,-90.0000,top
"LED3","","CHIP-LED0805",154.7241,-103.8606,-90.0000,top
"LED4","","CHIP-LED0805",154.7241,-101.3206,-90.0000,top
"LED5","","CHIP-LED0805",154.7241,-98.7806,-90.0000,top
"R1","10K","R0805",141.7701,-108.9406,0.0000,top
"R2","10K","R0805",141.7701,-106.4006,0.0000,top
"R3","10K","R0805",141.7701,-103.8606,0.0000,top
"R4","10K","R0805",141.7701,-101.4476,0.0000,top
"R5","10K","R0805",141.7701,-98.7806,0.0000,top
"R6","470","R0805",152.9461,-111.4806,0.0000,top
"R7","470","R0805",149.8981,-110.8456,-90.0000,top
"R8","470","R0805",147.3581,-110.8456,-90.0000,top
"R9","470","R0805",146.8501,-98.7806,180.0000,top
"R10","470","R0805",150.9141,-98.3996,180.0000,top
"U$1","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",139.6111,-94.8436,0.0000,top
"U$2","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",157.3911,-94.8436,0.0000,top
"U$3","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",139.6111,-115.1636,0.0000,top
"U$4","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",157.3911,-115.1636,0.0000,top
