Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,LEDCHIP-LED0805,ACT0,RED,CHIP-LED0805,1, ,
2,,C-USC0805K,C2,0.1uF,C0805K,1, ,
3,,CPOL-USA/3216-18R,C1,10uF/10V,A_3216-18R,1, ,
4,,4050D,IC1,4050D,SO16,1, ,
5,,LP298XS,IC2,LP298XS,SOT23-5L,1, ,
6,,PINHD-1X8BIG,JP1,PINHD-1X8BIG,1X08-BIG,1, ,
7,,R-US_R0805,R1,1K,R0805,1, ,
8,,MICROSD,X1,MICROSD,MICROSD,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,8
Component Count:,8 (0 SMD/ 0 THT)
Fitted Components:,8 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,8
