"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"AE2,AE3";"X0";2;"";;;
2;"C20,C19,C15,C4";"0603";4;"10µ";;;
3;"D1";"0603-LED";1;"LED";;;
4;"R14";"0603";1;"1k";;;
5;"C18,C3,C1,C7";"0603";4;"1µ";;;
6;"R3";"0402";1;"50";;;
7;"R8,R7,R6,R9";"0402";4;"5k49";;;
8;"C6,C5";"0402";2;"100n";;;
9;"R1,R2,R13";"0402";3;"100";;;
10;"C17,C16,C14,C13,C8,C10,C11,C12";"0603";8;"100n";;;
11;"X3,X4,X1,X2";"M3_MOUNT";4;"M3_MOUNT";;;
12;"R12,R11,R10,R4,R5";"0603";5;"10k";;;
13;"IC8,IC3";"SC-70-5";2;"AD8541";;;
14;"TP1";"TESTPAD";1;"TESTPAD";;;
15;"TP2";"SIL-254P-01";1;"TESTPAD";;;
16;"J1";"DIL-254P-20";1;"CONN_02x10";;;
17;"C9";"0402";1;"1n";;;
18;"C2";"0603";1;"1n";;;
19;"IC7,IC6,IC5,IC4";"MSOP-8";4;"AD8226";;;
20;"IC1";"MSOP-8";1;"ADP3335";;;
21;"IC2";"QFN-32-BGT24MTR";1;"BGT24MTR12";;;
