"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"65_Modded";1;"65";;;
2;"K_UP1,K_LEFT1,K_DOWN1,K_RIGHT1,K_EX4,K_EX3,K_EX2,K_EX1,K_SPC2,K_SBSPC1,K_=1,K_\1,K_LALT1,K_Z1,K_Y1,K_X1,K_W1,K_V1,K_U1,K_T1,K_SBSPC2,K_S1,K_R1,K_Q1,K_P1,K_O1,K_N1,K_M1,K_LGUI1,K_L1,K_K1,K_J1,K_I1,K_H1,K_G1,K_F1,K_ESC1,K_E1,K_D1,K_C1,K_B1,K_A1,K_]1,K_[1,K_;1,K_/1,K_-1,K_'1,K_#0_1,K_#9,K_#8,K_#7,K_#6,K_#5,K_#4,K_#3,K_#2,K_#1,K_,1,K_.1";"MXOnly-1U-Hotswap";60;"MX-NoLED";;;
3;"K_RCTRL1,K_XFER1,K_NFER1,K_LCTRL1";"MXOnly-1.25U-Hotswap";4;"MX-NoLED";;;
4;"D74,D67,D63,D27,D22,D58,D53,D48,D43,D37,D10,D1,D66,D17,D11,D72,D71,D70,D65,D62,D61,D60,D59,D57,D56,D55,D54,D52,D51,D50,D49,D47,D46,D45,D44,D42,D41,D40,D39,D38,D36,D35,D34,D33,D31,D30,D29,D28,D26,D25,D24,D23,D21,D20,D19,D18,D16,D15,D14,D13,D12,D9,D8,D7,D6,D5,D4,D3,D2";"D_SOD-123";69;"SOD-123";;;
5;"K_RSFT1";"MXOnly-1.75U-Hotswap";1;"MX-NoLED";;;
6;"G***,G***";"ai-ring-6mm-Combined";2;"LOGO";;;
7;"R3,R1";"R_0603_1608Metric";2;"22";;;
8;"K_CAPS1";"MXOnly-1.75U-Hotswap";1;"MX-LED";;;
9;"U2";"SOT143B";1;"PRTR5V0U2X";;;
10;"USB1";"HRO-TYPE-C-31-M-12-Assembly";1;"HRO-TYPE-C-31-M-12";;;
11;"R6,R2";"R_0603_1608Metric";2;"5.1k";;;
12;"L1";"L_1206_3216Metric";1;"60R@100MHz";;;
13;"F1";"Fuse_1206_3216Metric";1;"Polyfuse_Small";;;
14;"D32";"D_SOD-123";1;"SMF6.0CA";;;
15;"K_ENTER1";"MXOnly-ISO-ROTATED-Hotswap";1;"MX-NoLED";;;
16;"K_SPC1";"MXOnly-6U-Centered-Hotswap-ReversedStabilizers";1;"MX-NoLED";;;
17;"U1";"QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm";1;"ATmega32U4-MU";;;
18;"SW1";"SW_SPST_TL3342";1;"SW_Push";;;
19;"R5";"R_0603_1608Metric";1;"10k";;;
20;"K_TAB1";"MXOnly-1.5U-Hotswap";1;"MX-NoLED";;;
21;"K_LSFT1";"MXOnly-2.25U-Hotswap";1;"MX-NoLED";;;
22;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
23;"R4";"R_0603_1608Metric";1;"1k";;;
24;"C7";"C_0603_1608Metric";1;"1uF";;;
25;"C6,C5";"C_0603_1608Metric";2;"22pF";;;
26;"C4";"C_0603_1608Metric";1;"10uF";;;
27;"C3,C2,C1";"C_0603_1608Metric";3;"0.1uF";;;
