"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"Wire_Pads_Edge_1x2";1;"PSU IN";;;
2;"J9";"Wire_Pads_Edge_2x3";1;"CONN-R2";;;
3;"J6";"Wire_Pads_Edge_2x8";1;"CONN-L1";;;
4;"J7";"Wire_Pads_Edge_2x8";1;"CONN-L2";;;
5;"J8";"Wire_Pads_Edge_2x8";1;"CONN-R1";;;
6;"J2";"DIN_Socket_Edge_Solder_4pin";1;"SPEED CTRL";;;
7;"R41,R37,R36,R35,R34,R33,R32,R31,R30,R29,R28,R27,R26,R25,R24,R22,R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";17;"4.7K";;;
8;"J11";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"REVERSE";;;
9;"R7,R23,R17,R16,R15,R14,R13,R12,R11,R10,R9,R8,R6,R5,R4,R3,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";17;"100K";;;
10;"D4,D3,D2,D1";"D_DO-15_P12.70mm_Horizontal";4;"1N5819";;;
11;"C9";"CP_Radial_D18.0mm_P7.50mm";1;"4700uF";;;
12;"C8,C7,C6";"CP_Radial_D8.0mm_P2.50mm";3;"100uF";;;
13;"C3,C14,C13,C12";"C_Disc_D4.7mm_W2.5mm_P5.00mm";4;"10nF";;;
14;"R40,R39,R38";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"240";;;
15;"R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"2.2K";;;
16;"R19,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10K";;;
17;"R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"47K";;;
18;"Q9,Q6,Q19,Q18,Q17,Q16,Q15,Q14,Q13,Q12,Q11,Q10,Q8,Q7,Q5,Q4,Q2,Q1";"TO-220-3_Horizontal";18;"IRL540N";;;
19;"Q3";"TO-92_Inline_Wide";1;"2N2219";;;
20;"D7";"LED_D5.0mm";1;"SWITCHING";;;
21;"D6";"LED_D5.0mm";1;"CHARGING";;;
22;"D5";"LED_D5.0mm";1;"RUNNING";;;
23;"C15,C2,C1";"CP_Radial_D10.0mm_P5.00mm";3;"470uF";;;
24;"U1";"TO-220-3_Horizontal";1;"LM7805";;;
25;"Y1";"Crystal_HC49-U_Vertical";1;"20MHz";;;
26;"U8";"DIP-40_W15.24mm_LongPads";1;"PIC16F877A";;;
27;"U7,U6";"DIP-16_W7.62mm_LongPads";2;"ULN2003A";;;
28;"U5,U4,U3,U2";"DIP-16_W7.62mm_LongPads";4;"74HC595";;;
29;"J3";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"ICSP";;;
30;"D20";"D_DO-15_P10.16mm_Horizontal";1;"5V";;;
31;"D19";"D_DO-15_P10.16mm_Horizontal";1;"12V";;;
32;"C5,C4";"C_Disc_D3.4mm_W2.1mm_P2.50mm";2;"33pF";;;
33;"J5";"Pin_Header_Straight_2x06_Pitch2.54mm";1;"DISPLAY";;;
34;"J4";"Pin_Header_Straight_2x06_Pitch2.54mm";1;"PUSH-BUTTON";;;
35;"K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11";"TRK22X3-XXDC";11;"TRK2233-12DC";;;
