"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q1";"369C";1;"NCV8401BDTRKG";;;
2;"Rshunt1";"CST0612";1;"750u";;;
3;"C1";"C_0805";1;"100n";;;
4;"D1";"TO-263-2";1;"VB30100S-E3/8W";;;
5;"M1";"fuel_pump";1;"Motor_DC";;;
6;"R1,R3";"R_0805";2;"22.1k";;;
7;"R2,R4";"R_0805";2;"10.7k";;;
8;"R5,R7";"R_0805";2;"150";;;
9;"U1";"SOT-363_SC-70-6";1;"INA199x3_SC70";;;
10;"C2";"C_0805";1;"22uF";;;
11;"C3";"C_0805";1;"10uF";;;
12;"D2";"SOT-23";1;"MMBZ27V";;;
13;"D3";"D_SMF";1;"D_Schottky";;;
14;"D4";"D_SOD-123";1;"1N4148";;;
15;"D5";"LED_0805";1;"LED";;;
16;"R6";"R_0805";1;"47";;;
17;"R9";"R_0805";1;"10k";;;
18;"C4";"C_0805";1;"220p";;;
19;"J2";"SolderWirePad_single_SMD_5x10mm";1;"+12V";;;
20;"J3";"SolderWirePad_single_SMD_5x10mm";1;"EN";;;
21;"J4";"SolderWirePad_single_SMD_5x10mm";1;"LIN";;;
22;"J5";"SolderWirePad_single_SMD_5x10mm";1;"GND";;;
23;"U2";"SSOP-20_5.3x7.2mm_Pitch0.65mm";1;"PIC16F1829LIN-ESS";;;
24;"J1";"JST_BM05B";1;"JST_BM05B-SRSS-TB(LF)(SN)";;;
