"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"JST_XH_B03B-XH-A_03x2.50mm_Straight_LargePads";1;"Controls";;;
2;"U3";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340G";;;
3;"C1";"CP_Elec_10x10.5";1;"220u";;;
4;"U1";"SOT-223-3_TabPin2";1;"AZ1117-5.0";;;
5;"J3";"JST_XH_B02B-XH-A_02x2.50mm_Straight_LargePads";1;"Power";;;
6;"J2";"JST_XH_B04B-XH-A_04x2.50mm_Straight_LargePads";1;"Stepper";;;
7;"A1";"Pololu_Stepper_Breakout";1;"Pololu_Breakout_A4988";;;
8;"Y1";"Crystal_HC49-U_Vertical";1;"Crystal";;;
9;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328PB-AU";;;
10;"C2,C3,C6,C7,C8";"0805_Milling";5;"0.1u";;;
11;"C4,C5";"0805_Milling";2;"22p";;;
12;"R1";"0805_Milling";1;"10k";;;
13;"J1";"UJ2-MIBH-4-SMT";1;"USB_OTG";;;
