"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C8";"R_1206_HandSoldering";1;"100u";;;
2;"D1";"SLV6A-FKB";1;"LED_RGB";;;
3;"Y1";"Crystal_SMD_HC49-SD";1;"12M";;;
4;"U1";"SOIC-16_3.9x9.9mm_Pitch1.27mm";1;"CH340G";;;
5;"C7,C6,C3,C2,C1";"C_0805_HandSoldering";5;"0.1u";;;
6;"C5,C4";"C_0805_HandSoldering";2;"22p";;;
7;"R3,R1,R4";"R_0805_HandSoldering";3;"R_Small";;;
8;"R2";"R_0805_HandSoldering";1;"10k";;;
9;"IC1";"TQFP32_ATMEGA328P";1;"ATMEGA328PB-A";;;
10;"P1";"SMD_PIN_HEADER_02x03";1;"CONN_02X03";;;
11;"JP1";"Pin_Header_Straight_1x03_Pitch2.54mm_SMD_Pin1Left";1;"Jumper_NC_Dual";;;
12;"IC2";"SM-SOIC-8-208MIL";1;"ATTINY85-S";;;
13;"P2";"MICRO-B_USB-INVERTED";1;"USB_OTG";;;
