Ref,Val,Package,PosX,PosY,Rot,Side
"LED_L","Subminiature_Switch","LED_Hole_3mm",118.9000,-68.1000,180.0000,top
"LED_L","LED_Hole_3mm","LED_Hole_3mm",141.7000,-106.4000,180.0000,top
"LED_L","LED_Hole_3mm","LED_Hole_3mm",118.9000,-106.4000,180.0000,top
"MIX","Alpha_9mm_pot_hole","Alpha_9mm_pot_hole",150.5000,-115.5000,180.0000,top
"MIX","Alpha_9mm_pot_hole","Alpha_9mm_pot_hole",150.5000,-96.1000,180.0000,top
"MIX","Alpha_9mm_pot_hole","Alpha_9mm_pot_hole",130.3000,-61.4000,180.0000,top
"MIX","Alpha_9mm_pot_hole","Alpha_9mm_pot_hole",150.5000,-76.7000,180.0000,top
"MIX","Alpha_9mm_pot_hole","Alpha_9mm_pot_hole",110.1000,-96.1000,180.0000,top
"MIX","Alpha_9mm_pot_hole","Alpha_9mm_pot_hole",110.1000,-57.3000,180.0000,top
"MIX","Alpha_9mm_pot_hole","Alpha_9mm_pot_hole",110.1000,-76.7000,180.0000,top
"MIX","Alpha_9mm_pot_hole","Alpha_9mm_pot_hole",150.5000,-57.3000,180.0000,top
"MIX","Alpha_9mm_pot_hole","Alpha_9mm_pot_hole",110.1000,-115.5000,180.0000,top
"Ref**","Oval_Mounting_Hole","Oval_Mounting_Hole",107.4000,-43.9000,0.0000,top
"Ref**","Oval_Mounting_Hole","Oval_Mounting_Hole",153.2000,-166.4000,0.0000,top
"Ref**","Oval_Mounting_Hole","Oval_Mounting_Hole",153.2000,-43.9000,0.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",155.2000,-152.6000,180.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",135.2000,-152.6000,180.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",115.2200,-138.7000,180.0000,top
"Ref**","Oval_Mounting_Hole","Oval_Mounting_Hole",107.4000,-166.4000,0.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",155.3000,-138.7000,180.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",115.2000,-152.6000,180.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",120.2000,-126.6000,180.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",135.2600,-138.7000,180.0000,top
"Ref**","LED_Hole_3mm","LED_Hole_3mm",141.7000,-68.1000,0.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",145.2000,-152.6000,180.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",105.2000,-138.7000,180.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",125.2000,-152.6000,180.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",130.3000,-115.5000,180.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",105.2000,-152.6000,180.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",140.3000,-126.6000,180.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",125.2000,-138.7000,180.0000,top
"Ref**","Thonkiconn_Socket_MountingHole_6mm","Thonkiconn_Socket_MountingHole_6mm",145.2800,-138.7000,180.0000,top
"TYPE","Subminiature_Switch","Sub_Miniature_Switch_MountingHole_5mm",123.9000,-95.2000,0.0000,top
"TYPE","Subminiature_Switch","Sub_Miniature_Switch_MountingHole_5mm",136.7000,-79.3000,0.0000,top
"TYPE","Subminiature_Switch","Sub_Miniature_Switch_MountingHole_5mm",136.7000,-95.2000,0.0000,top
"TYPE","Subminiature_Switch","Sub_Miniature_Switch_MountingHole_5mm",123.9000,-79.3000,0.0000,top
