"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4,C2,C3,C6";"c_elec_5x4.5";4;"2.2uF";;;
2;"C1";"c_elec_5x4.5";1;"2.2uf";;;
3;"C5";"c_0805";1;"100nf";;;
4;"C7,C8";"c_elec_4x4.5";2;"10uF";;;
5;"C9,C10";"c_0805";2;"100nF";;;
6;"K1";"PIN_ARRAY_3X1";1;"CONN_3";;;
7;"P1,P2,P3";"PIN_ARRAY_1";3;"CONN_1";;;
8;"P4";"PIN_ARRAY_1";1;"Out";;;
9;"R1";"c_0805";1;"18K";;;
10;"R2,R3,R11,R12,R13";"c_0805";5;"47K";;;
11;"R4";"c_0805";1;"150K";;;
12;"R5";"c_0805";1;"220K";;;
13;"R6";"c_0805";1;"100K";;;
14;"R7,R8,R9,R10";"c_0805";4;"560K";;;
15;"R14";"c_0805";1;"3.3K";;;
16;"R15";"c_0805";1;"1K";;;
17;"RV1,RV2";"PIN_ARRAY_3X1";2;"50K Lin";;;
18;"RV3,RV5";"PIN_ARRAY_3X1";2;"POT";;;
19;"RV4";"PIN_ARRAY_3X1";1;"100K";;;
20;"SW1";"PIN_ARRAY_2X1";1;"SPST";;;
21;"U1";"-SO-14";1;"40106";;;
22;"U2";"-SO-14";1;"TL074";;;
23;",,";"3MMMountingHole";3;"";;;
