"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1,D3";"D_SOT-23_ANK";2;"BAT54";;;
2;"D7";"D_DO-15_P12.70mm_Horizontal";1;"1N4004";;;
3;"R64";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"3,3";;;
4;"U7";"SOIC-8_3.9x4.9mm_P1.27mm";1;"PCA82C251";;;
5;"VR1";"TO-263-5_TabPin3";1;"LT1129_QPACK";;;
6;"C40";"CP_Radial_D8.0mm_P5.00mm";1;"220uF";;;
7;"C38";"CP_Radial_D8.0mm_P5.00mm";1;"10uF";;;
8;"U4";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74HC125";;;
9;"LED2,LED1,D9,D8,LED5,LED3,LED4";"LED_1206_3216Metric";7;"LED";;;
10;"RED1";"SM1206POL";1;"LED_RESET1";;;
11;"LEDABRT1";"SM1206POL";1;"RED";;;
12;"C17";"SM1206POL";1;"100uF";;;
13;"C16";"SM1206POL";1;"10uF";;;
14;"ALLPST1,CLKOUT1,GND1,RS1,TA-1,VREF1";"PinHeader_1x01_P2.54mm_Vertical";6;"CONN_1";;;
15;"U1";"LQFP-100_14x14mm_P0.5mm";1;"MCF5213-LQFP100";;;
16;"FB1";"R_1206_3216Metric_Pad1.24x1.80mm_HandSolder";1;"BEAD";;;
17;"L1,L2";"R_1206_3216Metric_Pad1.24x1.80mm_HandSolder";2;"10uH";;;
18;"LV1";"TO-92_Molded_Narrow";1;"DS1818";;;
19;"U9";"TQFP-144_20x20mm_P0.5mm";1;"XCR3256-TQ144";;;
20;"U3,U5,U8";"SOIC-16_3.9x9.9mm_P1.27mm";3;"MAX202";;;
21;"COM_SEL1,COM_SEL2,COM_SEL3";"PinHeader_1x03_P2.54mm_Vertical";3;"CONN_3";;;
22;"C1,C2";"R_0805_2012Metric";2;"10pF";;;
23;"C3,C20";"R_0805_2012Metric";2;"1nF";;;
24;"C4,C5,C6,C7,C8,C9,C10,C11,C12,C14,C15,C18,C21,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C41,C43,C44,C45,C46,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61";"R_0805_2012Metric";43;"100nF";;;
25;"R1";"R_0805_2012Metric";1;"1M";;;
26;"R2,R15,R16,R17,R18,R19,R20,R25,R45,R47,R48,R49,R50";"R_0805_2012Metric";13;"4,7K";;;
27;"R4,R5,R6,R8,R10,R11,R13,R23,R26,R30,R34,R35";"R_0805_2012Metric";12;"10K";;;
28;"R7,R36,R62,R63";"R_0805_2012Metric";4;"1K";;;
29;"R9";"R_0805_2012Metric";1;"0";;;
30;"R12";"R_0805_2012Metric";1;"20K";;;
31;"R14,R22,R28,R31,R32,R33,R53";"R_0805_2012Metric";7;"270";;;
32;"R21";"R_0805_2012Metric";1;"4.7K";;;
33;"R38";"R_0805_2012Metric";1;"62";;;
34;"R46";"R_0805_2012Metric";1;"22";;;
35;"R57";"R_0805_2012Metric";1;"4K7";;;
36;"RCAN1,RCAN2";"R_0805_2012Metric";2;"R";;;
37;"Y1";"Crystal_HC18-U_Horizontal";1;"8MHz";;;
38;"BDM_EN1,CAN_TERM1,CLK0,CLK1,CT1,LED_EN1,VDDA1,VX_EN1";"PinHeader_1x02_P2.54mm_Vertical";8;"JUMPER";;;
39;"P1";"PinHeader_1x06_P2.54mm_Vertical";1;"CONN_6";;;
40;"CAN_EN1,P3";"PinHeader_2x02_P2.54mm_Vertical";2;"CONN_2X2";;;
41;"PULUPEN1,UART_EN0,UART_EN1,UART_EN2";"PinHeader_2x04_P2.54mm_Vertical";4;"CONN_4X2";;;
42;"BDM_PORT1";"PinHeader_2x13_P2.54mm_Vertical";1;"CONN_13X2";;;
43;"MCU_PORT1";"PinHeader_2x30_P2.54mm_Vertical";1;"CONN_30X2";;;
44;"P4";"PinHeader_2x20_P2.54mm_Vertical";1;"CONN_20X2";;;
45;"F1";"FSUPCMS";1;"FUSE";;;
46;"J1";"JACK_ALIM";1;"JACK_2P";;;
47;"Q1";"SOT23EBC";1;"3906";;;
48;"SW_ONOFF1";"SW_SPDT";1;"SWITCH_INV";;;
49;"TB1";"bornier2";1;"CONN_2";;;
50;"U2";"SOT353";1;"74AHC1G14";;;
51;"UARTCAN0,UARTCAN1,UARTCAN2";"DB9FC";3;"DB9";;;
52;"ABRT_SW1,RST_SW1,SW1,SW2";"SW_PUSH_SMALL";4;"SW_PUSH";;;
