Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric",269.1289,24.1985,0.0000,bottom
"C2","4.7uF","C_0603_1608Metric",273.1529,25.0735,-90.0000,bottom
"C3","1uF","C_0603_1608Metric",269.1304,22.2985,0.0000,bottom
"C4","1uF","C_0603_1608Metric",272.2004,19.6215,90.0000,bottom
"C5","4.7uF","C_0603_1608Metric",288.1680,4.0180,90.0000,bottom
"C6","100nF","C_0603_1608Metric",286.4485,4.0180,90.0000,bottom
"C7","100nF","C_0603_1608Metric",269.2400,12.1290,180.0000,bottom
"C8","4.7uF","C_0603_1608Metric",276.4079,19.6461,90.0000,bottom
"C9","100nF","C_0603_1608Metric",274.2142,0.5715,0.0000,bottom
"C10","100nF","C_0603_1608Metric",282.4874,16.9715,180.0000,bottom
"C11","100nF","C_0603_1608Metric",275.3508,16.9715,180.0000,bottom
"C12","100nF","C_0603_1608Metric",268.5495,8.4455,90.0000,bottom
"C13","100nF","C_0603_1608Metric",275.3157,-1.5365,180.0000,bottom
"C14","100nF","C_0603_1608Metric",266.8985,8.4455,-90.0000,bottom
"C15","100nF","C_0603_1608Metric",265.2475,11.9380,-90.0000,bottom
"D1","BSD3C051V","D_SOD-323",324.3914,20.7485,-90.0000,bottom
"D5","BAV70","SOT-23",12.1920,6.0960,90.0000,bottom
"D6","BAV70","SOT-23",53.0860,6.0960,90.0000,bottom
"D7","BAV70","SOT-23",93.7260,6.0960,90.0000,bottom
"D8","BAV70","SOT-23",134.6200,6.0960,90.0000,bottom
"D9","BAV70","SOT-23",175.2600,6.0960,90.0000,bottom
"D10","BAV70","SOT-23",216.1540,6.0960,90.0000,bottom
"D11","BAV70","SOT-23",254.2540,6.0960,90.0000,bottom
"D12","BAV70","SOT-23",306.0700,6.0960,90.0000,bottom
"D13","BAV70","SOT-23",344.1700,6.0960,90.0000,bottom
"D14","BAV70","SOT-23",306.0700,-12.9540,90.0000,bottom
"D15","BAV70","SOT-23",344.1700,-12.9540,90.0000,bottom
"D16","BAV70","SOT-23",9.6520,-32.0040,90.0000,bottom
"D17","BAV70","SOT-23",47.7520,-32.0040,90.0000,bottom
"D18","BAV70","SOT-23",85.8520,-32.0040,90.0000,bottom
"D19","BAV70","SOT-23",123.9520,-32.0040,90.0000,bottom
"D20","BAV70","SOT-23",162.0520,-32.0040,90.0000,bottom
"D21","BAV70","SOT-23",200.1520,-32.0040,90.0000,bottom
"D22","BAV70","SOT-23",238.2520,-32.0040,90.0000,bottom
"D23","BAV70","SOT-23",306.0700,-32.0040,90.0000,bottom
