"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Ref**";"Badge_2020_OWASP";1;"Val**";;;
2;"SW1";"SW_SPST_TL3342";1;"RST";;;
3;"J4";"U254051N4BH806";1;"USB_B_Micro";;;
4;"G***";"espressif";1;"LOGO";;;
5;"G***";"lcsc";1;"LOGO";;;
6;"G***";"pcbway_13x4";1;"LOGO";;;
7;"G***";"electronic_cats_logo_8x6";1;"LOGO";;;
8;"R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100K";;;
9;"Q2";"SOT-23";1;"DMG3415U-7";;;
10;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
11;"U3";"SOT-223-3_TabPin2";1;"AP1117";;;
12;"U2";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
13;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
14;"SW2";"SW_SPST_TL3342";1;"BOOT";;;
15;"R6,R5,R4,R3,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"10K";;;
16;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"470";;;
17;"Q3,Q1";"SOT-23";2;"MMBT3904";;;
18;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C";;;
19;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Shitty Add-Ons";;;
20;"F1";"Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder";1;"Fuse";;;
21;"D3";"D_SOD-123F";1;"MBR120";;;
22;"D2,D1";"LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm";2;"WS2812B";;;
23;"C5,C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"4.7uF";;;
24;"C3,C2,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"0.1uF";;;
