"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"z_RPiZero_Hat_NPTH";1;"RPi_A+_B+_2B_Hat";;;
2;"S1";"SW_PEC11R-4215F-S0024";1;"PEC11R-4215F-S0024";;;
3;"L1";"Resistor_Horizontal_RM10mm";1;"Coil";;;
4;"";"Symbol_OSHW-Logo_SilkScreen";1;"OSHW-Logo";;;
5;"G***";"electronic_cats_logo_8x6";1;"LOGO";;;
6;"D1";"LED_0805";1;"LED";;;
7;"IC1";"SOIC-8-N";1;"ATTINY85-P";;;
8;"P1";"Pin_Header_Straight_1x04";1;"OLED";;;
9;"R1";"R_0805_HandSoldering";1;"330";;;
10;"R2,R3,R4,R6";"R_0805_HandSoldering";4;"1K";;;
11;"R5";"R_0805_HandSoldering";1;"10K";;;
12;"U1";"SOIC-8-N";1;"TC4424";;;
13;"C1,C2";"TantalC_SizeA_EIA-3216_HandSoldering";2;"100uF";;;
14;"C3";"C_0805_HandSoldering";1;"0.1uF";;;
15;"G***";"samykamkar";1;"LOGO";;;
