"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"c_1206";1;"Cin";;;
2;"C2";"c_0805";1;"Cinx";;;
3;"C3";"c_0402";1;"Cb";;;
4;"C5";"c_1206";1;"Cff";;;
5;"C6";"c_0805";1;"Cout";;;
6;"D1";"Diode-SMA_Standard";1;"DIODESCH";;;
7;"R1";"SM0402";1;"Ron";;;
8;"R2";"SM0402";1;"Rilim";;;
9;"R3";"SM0402";1;"Rfbt";;;
10;"R4";"SM0402";1;"Rfbb";;;
11;"R5";"SM1206";1;"Rseries";;;
12;"U1";"SSOP8-9";1;"L5009";;;
13;"C4";"SM0805";1;"Cbyb";;;
14;"gnd1,in1,out1";"SIL-1";3;"CONN_1";;;
15;"L1";"SRR7032_Series";1;"INDUCTOR_SMALL";;;
