"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C4,C6,C7,C16,C18,C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";9;"100n";;;
2;"C17,C19";"CP_Tantalum_Case-C_EIA-6032-28_Hand";2;"10u";;;
3;"D1,D3,D4,D5";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"LED";;;
4;"D9";"D_SMB_Handsoldering";1;"D";;;
5;"J1,J8";"kk100_22-23-2101";2;"kk_10";;;
6;"J2,J3";"kk100_22-23-2051";2;"kk_5";;;
7;"J4";"kk100_22-23-2061";1;"CONN_01X06";;;
8;"J5";"kk100_22-23-2021";1;"CONN_01X02";;;
9;"J11";"kk100_22-23-2031";1;"CONN_01X03";;;
10;"R1,R2,R3,R4,R5,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10k";;;
11;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4k7";;;
12;"R8,R10,R11,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1k2";;;
13;"TP1,TP2,TP3,TP4";"MountingHole_3.5mm_Pad";4;"TEST";;;
14;"U1,U2";"SO-14_3.9x8.65mm_P1.27mm";2;"74HCT04";;;
15;"U12";"TO-263-3_TabPin4";1;"78M05 Dpak";;;
16;"J6";"kk100_22-23-2131";1;"CONN_01X13";;;
17;"U3,U4,U6,U7";"SO-20_12.8x7.5mm_P1.27mm";4;"TPIC6B595";;;
18;"J7";"Molex_KK-6410-07_07x2.54mm_Straight";1;"Conn_01x07";;;
