"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J11,J6";"kk100_22-23-2091";2;"Conn_01x09";;;
2;"J3";"kk100_22-23-2021";1;"Conn_01x02";;;
3;"J8,J9,J10";"MountingHole_3.2mm_M3_ISO14580_Pad";3;"Conn_01x01";;;
4;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"via";309;"via";;;
5;"J1";"kk100_22-23-2041";1;"Conn_01x04";;;
6;"C5";"C_0805_HandSoldering";1;"100n";;;
7;"C6";"C_0805_HandSoldering";1;"10n";;;
8;"J4,J5";"kk100_22-23-2101";2;"Conn_01x10";;;
9;"R1,R2,R3,R5,R6,R7";"R_0805_HandSoldering";6;"4k7";;;
10;"U3,U4";"SOIC-18W_7.5x11.6mm_Pitch1.27mm";2;"ULN2803A";;;
11;"J12,J13";"Pin_Header_Straight_1x02_Pitch2.54mm";2;"Conn_01x02";;;
12;"U2";"TSSOP-24_4.4x7.8mm_Pitch0.65mm";1;"TCA9555PWR";;;
13;"J2";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Conn_02x03_Odd_Even";;;
14;"D1";"D_2010";1;"D";;;
15;"R4";"R_0805_HandSoldering";1;"0R";;;
