Ref,Val,Package,PosX,PosY,Rot,Side
"C55","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-78.0000,0.0000,bottom
"C56","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-83.0000,0.0000,bottom
"C57","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-38.0000,0.0000,bottom
"C58","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-46.0000,0.0000,bottom
"C59","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-54.0000,0.0000,bottom
"C60","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-62.0000,0.0000,bottom
"C61","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-70.0000,0.0000,bottom
"C62","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",48.5000,-91.0000,0.0000,bottom
"C63","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-43.0000,0.0000,bottom
"C64","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-51.0000,0.0000,bottom
"C65","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-59.0000,0.0000,bottom
"C66","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-67.0000,0.0000,bottom
"C67","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-75.0000,0.0000,bottom
"C68","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.0000,-96.0000,0.0000,bottom
"C93","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",66.5000,-105.2500,90.0000,bottom
"C94","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-38.0000,180.0000,bottom
"C95","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-46.0000,180.0000,bottom
"C96","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-54.0000,180.0000,bottom
"C97","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-62.0000,180.0000,bottom
"C98","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-70.0000,180.0000,bottom
"C99","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0375,-91.0000,180.0000,bottom
"C100","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-43.0000,180.0000,bottom
"C101","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-51.0000,180.0000,bottom
"C102","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-59.0000,180.0000,bottom
"C103","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-67.0000,180.0000,bottom
"C104","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-75.0000,180.0000,bottom
"C105","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-96.0000,180.0000,bottom
"C106","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",66.5000,-101.0000,90.0000,bottom
"C107","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-78.0000,180.0000,bottom
"C108","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.0000,-83.0000,180.0000,bottom
"FB32","Ferrite","L_0805_2012Metric",44.0000,-82.5000,-90.0000,bottom
"FB34","Ferrite","L_0805_2012Metric",44.0000,-42.5000,90.0000,bottom
"FB36","Ferrite","L_0805_2012Metric",44.0000,-50.0000,-90.0000,bottom
"FB38","Ferrite","L_0805_2012Metric",44.0000,-58.5000,-90.0000,bottom
"FB40","Ferrite","L_0805_2012Metric",44.0000,-66.5000,-90.0000,bottom
"FB42","Ferrite","L_0805_2012Metric",44.0000,-74.5000,-90.0000,bottom
"FB44","Ferrite","L_0805_2012Metric",43.7500,-95.0000,-90.0000,bottom
"FB48","Ferrite","L_0805_2012Metric",98.0000,-39.0000,90.0000,bottom
"FB50","Ferrite","L_0805_2012Metric",97.7500,-47.0000,90.0000,bottom
"FB52","Ferrite","L_0805_2012Metric",98.0000,-55.0000,90.0000,bottom
"FB54","Ferrite","L_0805_2012Metric",97.7500,-63.0000,90.0000,bottom
"FB56","Ferrite","L_0805_2012Metric",98.0000,-71.0000,90.0000,bottom
"FB58","Ferrite","L_0805_2012Metric",97.7500,-92.0000,90.0000,bottom
"FB60","Ferrite","L_0805_2012Metric",97.7500,-79.0000,90.0000,bottom
"R11","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",51.7500,-101.7500,180.0000,bottom
"R12","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",51.7500,-104.0000,0.0000,bottom
