Ref,Val,Package,PosX,PosY,Rot,Side
"C13","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",79.8000,-55.3000,90.0000,top
"C14","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.5000,-60.5000,0.0000,top
"C17","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.5000,-71.4625,90.0000,top
"C18","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",79.8000,-94.6000,90.0000,top
"C19","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",86.0000,-81.0000,180.0000,top
"C20","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",86.0000,-91.0000,180.0000,top
"C21","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.5000,-85.5000,0.0000,top
"C22","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",86.0000,-86.0000,180.0000,top
"C23","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.5000,-88.5000,0.0000,top
"R10","2.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.5000,-62.5000,0.0000,top
"R25","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.0000,-78.0000,0.0000,top
"R26","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.0000,-80.0000,0.0000,top
"R27","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.0000,-82.0000,0.0000,top
"R28","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.0000,-84.0000,0.0000,top
"R29","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.0000,-86.0000,0.0000,top
"R30","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.0000,-88.0000,0.0000,top
"SW1","RotaryEncoder_Dual_Switch","RotaryEncoder_Dual_Alps_EC11E-Switch_Vertical_H20mm",147.8000,-116.0375,90.0000,top
