"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"AFF4,AFF3,AFF2";"7_Seg_20mm";3;"SC08-11YWA";;;
2;"SW1,SW2";"SW_PUSH-12mm";2;"PUSHBUT_4PIN";;;
3;"Q3,Q5,Q4";"SOT23GDS";3;"BSN 20";;;
4;"R19,R16,R18,R20,R21,R17,R8,R14,R15";"SM1206";9;"220";;;
5;"R11,R12,R13";"SM1206";3;"1k";;;
6;"SW3";"Rotary_Encoder";1;"ENC";;;
7;"D1";"LED-5MM";1;"LED";;;
8;"P3";"SIL-17";1;"CONN_17";;;
9;"1PIN,1PIN";"1pin";2;"P***";;;
10;"";"LOGO_ElecLab";1;"";;;
11;"";"LOGO_ossw";1;"";;;
12;"G***";"Logo_silk_OSHW_6x6mm";1;"LOGO";;;
