"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C5,C6,C7,C9,C10";"C_1206_HandSoldering";8;"100n";;;
2;"R1";"C_0805_HandSoldering";1;"1300";;;
3;"R2";"C_0805_HandSoldering";1;"240";;;
4;"R3";"C_0805_HandSoldering";1;"330";;;
5;"RV1";"RV2X4";1;"10k";;;
6;"U2,U3,U7";"TO-252-2Lead";3;"MC78M05CDT";;;
7;"U4";"arduino_nano";1;"Arduino_Nano";;;
8;"U1";"TO-220_Neutral123_Horizontal_LargePads";1;"LM317T";;;
9;"D1";"SMB_Handsoldering";1;"D_Schottky";;;
10;"C4";"c_elec_6.3x7.7";1;"1500uF";;;
11;"P8";"Molex_KK-6410-02_02x2.54mm_Straight";1;"Reset";;;
12;"DS1";"Molex_KK-6410-16_16x2.54mm_Straight";1;"LCD16X2";;;
13;"P1";"Molex_KK-6410-02_02x2.54mm_Straight";1;"12V in";;;
14;"P2";"Molex_KK-6410-02_02x2.54mm_Straight";1;"DWN";;;
15;"P3";"Molex_KK-6410-07_07x2.54mm_Straight";1;"Si5351";;;
16;"P4";"Molex_KK-6410-04_04x2.54mm_Straight";1;"Encoder";;;
17;"P5";"Molex_KK-6410-04_04x2.54mm_Straight";1;"GPS";;;
18;"P6";"Molex_KK-6410-02_02x2.54mm_Straight";1;"UP";;;
19;"P7";"Molex_KK-6410-02_02x2.54mm_Straight";1;"Band";;;
