"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"MT3608_Step-Up_Converter_PCB";1;"MT3608-PCB";;;
2;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Male";;;
3;"J2,J3";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03_Male";;;
4;"C1,C3,C6";"C_0805_2012Metric";3;"100n";;;
5;"C2";"C_0805_2012Metric";1;"220n";;;
6;"C4";"C_1206_3216Metric";1;"1µ";;;
7;"C5";"CP_Radial_D12.5mm_P5.00mm";1;"470µ";;;
8;"D1,D2,D3,D4";"D_SMA";4;"S1B";;;
9;"FB1,FB2";"L_0805_2012Metric";2;"Ferrite_Bead";;;
10;"J1";"RJ12_Amphenol_54601";1;"6P6C";;;
11;"Q1";"SOT-23";1;"BC848";;;
12;"Q2,Q3";"SOT-23";2;"BC807";;;
13;"R1,R6,R9";"R_0603_1608Metric";3;"4k7";;;
14;"R2";"R_0603_1608Metric";1;"100k";;;
15;"R3,R4,R5";"R_0603_1608Metric";3;"22k";;;
16;"R7,R8,R10,R11";"R_1206_3216Metric";4;"470";;;
17;"R12,R13";"R_1206_3216Metric";2;"22";;;
18;"R14";"R_1206_3216Metric";1;"100";;;
19;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"FAN3241";;;
20;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
