"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"L2";"C0402";1;"8.2nH 0402";;;
2;"Q1";"SOT23-3";1;"2N7002";;;
3;"R4";"0603";1;"22K 1% 0603";;;
4;"J7";"1X02";1;"Debug/Test UART";;;
5;"L3";"C0402";1;"5.6nH 0402";;;
6;"C15,C14";"0603";2;"18pF 0603";;;
7;"LED2";"LED-0603";1;"Power 0603 BLUE";;;
8;"C5";"0603";1;"1nF 0603";;;
9;"C11,C8,C12";"0603";3;"100nF 0603";;;
10;"R1,R5";"0603";2;"1K 0603";;;
11;"R3";"0603";1;"10K 0603";;;
12;"C1";"C0402";1;"1.8pF 0402";;;
13;"C2";"C0402";1;"1.2pF 0402";;;
14;"IC3";"SOT23";1;"MCP1700T-3002E";;;
15;"S1";"TACTILE_SWITCH_SMD";1;"Reset";;;
16;"J2";"1X06";1;"";;;
17;"LED1";"LED-0603";1;"Activity 0603 GREEN";;;
18;"Q2";"HC49U-V";1;"16MHz HC49US";;;
19;"Q3";"TC26H";1;"32768 Hz";;;
20;"IC1";"FITNESSDEVICE_QFN-32";1;"NRF8001";;;
21;"C9,C10";"0603";2;"1uF 0603";;;
22;"C13";"0603";1;"33nF 0603";;;
23;"R2";"0603";1;"100K 0603";;;
24;"J5,J4,J1";"1X08";3;"";;;
25;"L1";"C0402";1;"3.9nH 0402";;;
26;"IC2";"SO16";1;"HEF4050BT";;;
27;"C6,C7";"0603";2;"27pF 0603";;;
28;"J6";"1X02";1;"";;;
29;"C4";"C0402";1;"2.2nF 0402";;;
30;"ANT1";"RN-ANT";1;"ANTENNA";;;
31;"J8,J9";"SJC";2;"SJCN";;;
32;"C3";"C0402";1;"NP";;;
33;"J3";"ARDUINO-SHIELD_R3";1;"ARDUINO-SHIELD_R3";;;
