"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C23,C25,C28,C17,C24,C26,C22";"C0603";7;"100nF";;;
2;"C8,C21,C2,C20";"C0603";4;"22pF 0603";;;
3;"C19,C12,C7,C1,C14,C29,C27";"C0603";7;"100nF 0603";;;
4;"C5,C6";"PANASONIC_D";2;"47uF 25V";;;
5;"A6,A7,CD0";"1X01";3;"M01PTH";;;
6;"J1";"POWER_JACK_SLOTS";1;"DC_2_1MM";;;
7;"X2";"HC49U-V";1;"25MHz";;;
8;"R14,R15";"R0603";2;"4K7";;;
9;"L2,L1";"L2012C";2;"1uH 250mA 0805";;;
10;"C3,C10,C13,C4";"EIA3216";4;"10uF 6.3V A TANT";;;
11;"LED5";"LED-0603";1;"TX/YEL";;;
12;"H2";"1X08-S";1;"Power";;;
13;"RN8";"CAY16";1;"2K2";;;
14;"P1";"USB-MICROB-MB05PMXX";1;"USB-6P-SMT";;;
15;"LED9,LED3,LED1";"LED-0603";3;"YELLOW";;;
16;"R3";"R0603";1;"1M";;;
17;"REG1";"SOT89";1;"LD1117-SOT89";;;
18;"S1";"TACTILE_SMD-6MM";1;"RESET";;;
19;"@HOLE1,@HOLE3,@HOLE2,@HOLE0";"";4;"";;;
20;"F1";"1812";1;"500mA PTC 1812";;;
21;"RN3,RN1,RN6,RN2,RN7";"CAY16";5;"1K";;;
22;"LED6";"LED-0603";1;"RX/GRN";;;
23;"Z1,Z2";"TVS0603";2;"PGB1010603";;;
24;"P4";"MICRO-SD-SOCKET-PP";1;"microSD";;;
25;"RN5";"CAY16";1;"49R9 1%";;;
26;"X1,X3";"HC49U-V";2;"16MHz";;;
27;"FID2,FID3,FID1";"FIDUCIAL-1X2.5";3;"FIDUCIAL1X2.5";;;
28;"LED10";"LED-0603";1;"D13/RED";;;
29;"D1";"SMA-DIODE";1;"1N4004 SMB";;;
30;"LED8,LED7";"LED-0603";2;"GREEN";;;
31;"H4";"1X08-S";1;"Digital_0_7";;;
32;"IC3";"ATMEL_QFN32";1;"ATMEGA16U2-MU";;;
33;"Q2,Q3";"SOT23-3";2;"2N7002";;;
34;"IC1";"DPACK";1;"MC33269DT-5.0";;;
35;"JP3";"FT-POE-MODULE-NOLABEL";1;"FT-POE-MODULE3";;;
36;"U1";"HY931147C";1;"HY931147C-RJ45";;;
37;"IC7";"SOT23-6";1;"MCP24AA025E48";;;
38;"SJ3";"SJ";1;"RESET-EN";;;
39;"LED4";"LED-0603";1;"RED";;;
40;"R8";"R0603";1;"1K 0603";;;
41;"C18";"C0603";1;"10nF";;;
42;"C15,C16";"C0603";2;"13pF";;;
43;"IC2";"SOT143-R";1;"APX811-44UG-7";;;
44;"IC5";"TQFP32-08";1;"ATMEGA328P TQFP32";;;
45;"REG2";"SOT-223";1;"LD1117";;;
46;"R4,R5";"R0603";2;"22R 0603";;;
47;"LED2";"LED-0603";1;"PWR/BLUE";;;
48;"L3";"0805-LARGE";1;"0805 INDUCTOR";;;
49;"H1";"1X10-S";1;"Digital_8_13";;;
50;"R6";"R0603";1;"12K3 1%";;;
51;"Q1";"SOT23";1;"FDN340P";;;
52;"C11,C9";"C0603";2;"1uF 0603";;;
53;"R1,R7";"R0603";2;"1M 0603";;;
54;"R2";"R0603";1;"27R 0603";;;
55;"H3";"1X06-S";1;"Analog";;;
56;"RN4";"CAY16";1;"10K";;;
57;"IC6";"SQFP80";1;"W5100SQFP80";;;
58;"P2";"2X03PTH";1;"ICSP:MAIN";;;
59;"SJ4";"SJ";1;"D2_INT";;;
60;"P3";"2X03PTH";1;"ICSP:USB";;;
61;"IC4";"SO08";1;"LM358D";;;
62;"SJ2";"SJ";1;"UBOOT";;;
63;"SJ1";"SJ";1;"GROUND";;;
64;"SJ6,SJ5";"SJC";2;"SJCN";;;
