"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"74AHCT245PW";;;
2;"U10,U9";"SOT-353";2;"74LVC1G04GW";;;
3;"U8";"SOT-223";1;"AZ1117CH-3.3";;;
4;"U6,U7,U5";"TSSOP-20_4.4x6.5mm_P0.65mm";3;"74LVC245APW";;;
5;"U1";"TQFP-100_14x14mm_P0.5mm";1;"EPM240T100C5N";;;
6;"C17,C27,C10,C5,C14,C22,C18,C15,C13,C16,C25,C21,C23,C19,C12,C11,C9,C20,C24,C8,C6,C7";"C_0603";22;"2u2";;;
7;"C26,C4,C3,C2,C1";"C_0805";5;"10u";;;
8;"U2";"TSOP-II-54_22.2x10.16mm_P0.8mm";1;"W9812G6KH-6";;;
9;"FID1,FID3,FID4,FID2";"Fiducial";4;"Fiducial";;;
10;"R1,R2";"R_0805";2;"22k";;;
11;"R3";"R_0805";1;"100";;;
12;"RN1,RN2,RN3,RN4,RN5";"R4_0402";5;"4x33";;;
13;"U3";"Crystal_SMD_7050-4Pin_7.0x5.0mm_SiTime";1;"60M";;;
