"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"SMD_0805";2;"15uF";;;
2;"C3,C4";"SMD_0805";2;"2.2uF";;;
3;"C5,C6";"SMD_0805";2;"33uF";;;
4;"D1";"LED_1206";1;"RED";;;
5;"R1";"SMD_0805";1;"10k";;;
6;"R2";"SMD_0805";1;"330";;;
7;"R3,R4";"SMD_0805";2;"220";;;
8;"TP1,TP2,TP3";"TESTPOINT_063";3;"TEST_POINT";;;
9;"C7,C8,C9,C10";"SMD_0805";4;"0.1uF";;;
10;"P1";"DIN_CUI_SDS-50J";1;"CONN_01X06";;;
11;"P2";"CONN_2.54mm_1x4";1;"CONN_01X04";;;
12;"D2,D3";"DIODE_SOT-23-3";2;"PLVA653A";;;
13;"U1";"SSOP_20_4.5mm_6.6mm_0.65mm_PWP";1;"TPS60131";;;
14;"J1";"PMOD_SINGLE_MALE";1;"PMOD_SINGLE";;;
15;"AT1,AT2";"SOT-23-6";2;"TXB0101";;;
