"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R87,R12,R234,R155,R14,R239,R44,R54,R117,R124,R7,R151,R207,R165,R170,R135,R266,R143,R13,R70,R162,R193,R206,R103,R252,R191,R192,R105,R210,R260,R215,R214,R53,R107,R248,R219,R259,R134,R152,R222,R230,R238,R265,R32,R97,R251,R156,R57,R255,R159,R86,R254,R77,R78,R116,R126,R223,R56,R85,R51,R133,R212,R98,R59,R26,R42,R108,R104,R29,R139,R243,R148,R94,R186,R257,R228,R180,R157,R128,R101,R69,R113,R203,R72,R125,R84,R93,R160,R17,R131,R168,R171,R229,R241,R161,R24,R52,R236,R232,R205,R250,R267,R6,R106,R39,R62,R138,R202,R173,R2,R220,R15,R68,R99,R3,R209,R204,R141,R114,R96,R242,R60,R129,R8,R233,R142,R132,R102,R146,R247,R90,R258,R16,R36,R40,R137,R119,R263,R83,R89,R189,R33,R231,R224,R201,R221,R45,R270,R47,R30,R167,R76,R227,R261,R196,R115,R245,R164,R264,R225,R147,R256,R31,R187,R92,R158,R48,R67,R198,R246,R41,R240,R179,R140,R175,R178,R153,R21,R182,R11,R195,R79,R150,R184,R71,R211,R63,R120,R185,R112,R81,R61,R75,R110,R174,R66,R35,R4,R218,R34,R249,R49,R269,R213,R74,R149,R25,R20,R169,R65,R18,R123,R166,R80,R121,R43,R10,R177,R144,R50,R22,R9,R183,R58,R194,R268,R111,R176,R130,R122,R95,R200,R188,R197,R88,R237,R216,R27,R23,R38";"0402-RES";240;"1k";;;
2;"JP233,JP8,JP282,JP354,JP164,JP114,JP186,JP176,JP343,JP31,JP187,JP211,JP29,JP17,JP188,JP173,JP42,JP222,JP210,JP125,JP53,JP257,JP77,JP198,JP56,JP356,JP224,JP150,JP162,JP163,JP342,JP66,JP283,JP79,JP65,JP320,JP271,JP272,JP269,JP80,JP355,JP307,JP115,JP185,JP113,JP209,JP259,JP92,JP19,JP137,JP116,JP270,JP258,JP329,JP54,JP103,JP138,JP41,JP212,JP174,JP235,JP318,JP197,JP330,JP293,JP344,JP152,JP332,JP246,JP30,JP234,JP200,JP90,JP104,JP68,JP295,JP260,JP248,JP199,JP7,JP32,JP331,JP91,JP151,JP308,JP89,JP102,JP140,JP317,JP236,JP126,JP161,JP305,JP221,JP55,JP296,JP127,JP139,JP319,JP149,JP284,JP175,JP245,JP353,JP281,JP43,JP341,JP306,JP128,JP247,JP67,JP44,JP294,JP223,JP18,JP6,JP101,JP2,JP78,JP20";"1X02_NO_SILK";120;"";;;
3;"C14,C37,C76,C56,C5,C73,C47,C36,C12,C53,C79,C41,C48,C68,C87,C66,C30,C9,C26,C65,C11,C7,C38,C74,C31,C4,C25,C10,C6,C88,C39,C55,C8,C61,C67,C43,C3,C60,C33,C69,C49,C22,C64,C63,C24,C35,C18,C28,C71,C16,C59,C2,C21,C15,C29,C75,C34,C58,C51,C62,C17,C70,C50,C42,C89,C90,C78,C1,C86,C83,C54,C52,C20,C80,C84,C82,C19,C85,C46,C13,C23,C45,C57,C32,C27,C40,C72,C81,C44,C77";"0402-CAP";90;"0.1uF";;;
4;"JP298,JP154,JP334,JP286,JP58,JP322,JP94,JP202,JP106,JP130,JP118,JP70,JP12,JP22,JP262,JP310,JP346,JP226,JP274,JP238,JP82,JP250,JP34,JP214,JP178,JP46,JP358,JP142,JP190,JP166";"1X10_NO_SILK";30;"M10SIP_NS";;;
5;"R1,R145,R190,R109,R64,R37,R199,R226,R253,R19,R127,R46,R217,R181,R82,R5,R154,R100,R136,R91,R28,R262,R118,R172,R208,R235,R55,R73,R163,R244";"0402-RES";30;"10k";;;
6;"JP69,JP309,JP345,JP165,JP81,JP213,JP117,JP237,JP273,JP321,JP333,JP21,JP105,JP33,JP57,JP201,JP141,JP129,JP189,JP297,JP177,JP153,JP225,JP249,JP285,JP45,JP11,JP357,JP93,JP261";"1X05_NO_SILK";30;"";;;
7;"JP206,JP145,JP278,JP256,JP219,JP97,JP183,JP38,JP277,JP64,JP123,JP73,JP109,JP265,JP315,JP169,JP181,JP51,JP243,JP134,JP303,JP135,JP147,JP14,JP253,JP194,JP159,JP39,JP182,JP325,JP196,JP313,JP170,JP268,JP280,JP4,JP349,JP158,JP326,JP62,JP121,JP28,JP5,JP85,JP231,JP352,JP208,JP112,JP316,JP88,JP146,JP207,JP1,JP86,JP338,JP195,JP157,JP98,JP25,JP289,JP16,JP49,JP255,JP122,JP254,JP279,JP148,JP40,JP3,JP75,JP220,JP27,JP133,JP340,JP327,JP290,JP291,JP230,JP26,JP160,JP229,JP100,JP184,JP232,JP267,JP337,JP350,JP15,JP172,JP52,JP74,JP218,JP339,JP302,JP50,JP111,JP304,JP328,JP76,JP292,JP63,JP171,JP217,JP314,JP13,JP110,JP193,JP61,JP266,JP99,JP205,JP37,JP124,JP87,JP244,JP301,JP242,JP136,JP241,JP351";"STAND-OFF";120;"STAND-OFF";;;
8;"U$35,U$83,U$65,U$53,U$50,U$8,U$14,U$62,U$74,U$17,U$11,U$86,U$23,U$32,U$29,U$41,U$20,U$77,U$71,U$38,U$26,U$59,U$47,U$56,U$44,U$80,U$89,U$68,U$2,U$5";"SFE-LOGO-FLAME";30;"LOGO-SFESK";;;
9;"JP348,JP299,JP132,JP23,JP360,JP180,JP144,JP9,JP167,JP323,JP347,JP300,JP312,JP47,JP179,JP168,JP359,JP287,JP228,JP239,JP191,JP203,JP155,JP264,JP59,JP240,JP119,JP83,JP24,JP10,JP156,JP311,JP143,JP216,JP335,JP131,JP96,JP275,JP215,JP276,JP263,JP35,JP204,JP107,JP108,JP36,JP84,JP288,JP252,JP227,JP192,JP120,JP95,JP71,JP336,JP324,JP60,JP48,JP72,JP251";"MICRO-FIDUCIAL";60;"FIDUCIALUFIDUCIAL";;;
10;"U$46,U$10,U$25,U$22,U$73,U$34,U$31,U$37,U$3,U$85,U$79,U$1,U$76,U$61,U$16,U$82,U$43,U$28,U$52,U$13,U$58,U$55,U$70,U$49,U$67,U$19,U$40,U$7,U$64,U$88";"SFE-NEW-WEB";30;"LOGO-SFENW2";;;
11;"U$42,U$36,U$6,U$33,U$69,U$24,U$90,U$21,U$30,U$66,U$78,U$57,U$54,U$48,U$75,U$39,U$27,U$81,U$63,U$84,U$9,U$60,U$87,U$18,U$45,U$15,U$12,U$4,U$51,U$72";"OSHW-LOGO-S";30;"OSHW-LOGOS";;;
12;"ATMEGA328P-AU29,ATMEGA328P-AU26,ATMEGA328P-AU2,ATMEGA328P-AU6,ATMEGA328P-AU24,ATMEGA328P-AU18,ATMEGA328P-AU15,ATMEGA328P-AU3,ATMEGA328P-AU5,ATMEGA328P-AU1,ATMEGA328P-AU11,ATMEGA328P-AU0,ATMEGA328P-AU28,ATMEGA328P-AU20,ATMEGA328P-AU23,ATMEGA328P-AU27,ATMEGA328P-AU17,ATMEGA328P-AU19,ATMEGA328P-AU7,ATMEGA328P-AU8,ATMEGA328P-AU4,ATMEGA328P-AU22,ATMEGA328P-AU16,ATMEGA328P-AU13,ATMEGA328P-AU25,ATMEGA328P-AU10,ATMEGA328P-AU14,ATMEGA328P-AU9,ATMEGA328P-AU21,ATMEGA328P-AU12";"TQFP32-08";30;"ATMEGA328P-AU";;;
13;"E$1";"FIDUCIAL-1.5X3";1;"";;;
14;"E$6,E$5";"FIDUCIAL-1X2";2;"";;;
15;"LED18,LED4,LED19,LED7,LED25,LED13,LED8,LED23,LED5,LED2,LED26,LED6,LED17,LED12,LED29,LED10,LED28,LED16,LED24,LED15,LED9,LED21,LED1,LED27,LED14,LED3,LED20,LED22,LED11,LED30";"7-SEGMENT-4DIGIT-YOUNGSUN";30;"7-SEGMENT-4DIGIT-YOUNGSUN";;;
