"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"MADW__9V_battery_with_clip";1;"9V_battery";;;
2;"G7,G8";"CHINESE_ORDER_NUMBER";2;"CHINESE_ORDER_NUMBER";;;
3;"G3,G4";"OSHW_LOGO";2;"OSHW_LOGO";;;
4;"T4,T3,T1,T2";"MADW__binding_post_4mm_6A";4;"Binding_post";;;
5;"HS1";"MADW__heatsink-TO220-94x45x30_2_m-holes";1;"HEATSINK";;;
6;"G6,G5";"FIRE";2;"FIRE";;;
7;"G2,G1";"LED_SMILE";2;"LED_SMILE";;;
8;"RV2";"MADW__vishay_534_pot";1;"100k";;;
9;"D1";"-CHIPLED_0805";1;"LED";;;
10;"MH1,MH2,MH4,MH3";"MADW__mounting_hole_3mm";4;"CONN_1";;;
11;"U1";"SOT223";1;"TS2940";;;
12;"C3,C4";"-C0805";2;"100nF";;;
13;"C1,C2,C5,C6,C7";"-C1206";5;"10µF";;;
14;"U2";"-SO08";1;"LM2904";;;
15;"RLED1";"-R0603";1;"300R";;;
16;"RP2,RP1";"MADW__power_resistor_5W";2;"100mOhm";;;
17;"RGND1";"-R0603";1;"0R";;;
18;"R2";"-R0805";1;"100k";;;
19;"R1,R5";"-R0805";2;"10k";;;
20;"Q1,Q2";"MADW__TO220_V";2;"IRL3803";;;
21;"R3,R4";"-R0805";2;"100R";;;
22;"DS1";"MADW__TO220_V";1;"MBR1045";;;
23;"DZ1,DZ2";"-SOT23";2;"BZX84C_5V6";;;
24;"R6";"R5";1;"30k-0.1%";;;
25;"R7";"R5";1;"10k-0.1%";;;
26;"SW1";"MADW__pcb_side_switch";1;"SWITCH_INV";;;
27;"JP1";"MADW__SIL-3";1;"REMOTE_CTRL";;;
28;"P1";"MADW__SIL-4";1;"REMOTE";;;
