"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H1,H2,H4,H3";"MountingHole_2.2mm_M2_DIN965_Pad";4;"M2";;;
2;"J1";"PinSocket_1x07_P2.54mm_Vertical";1;"XIAO_L";;;
3;"J2";"PinSocket_1x07_P2.54mm_Vertical";1;"XIAO_R";;;
4;"U1";"USEQGSE";1;"USEQGSE CO2";;;
5;"D2,D1";"D_SOD-323";2;"D_Small";;;
6;"R2,R5,R1,R3,R4";"R_0402_1005Metric";5;"50k";;;
7;"R8,R7,R6";"R_0402_1005Metric";3;"10k";;;
8;"D3";"LED_0402_1005Metric";1;"PWR";;;
9;"J3";"JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical";1;"MicroLab";;;
10;"C8,C4";"C_0402_1005Metric";2;"10uF";;;
11;"C7,C5,C3,C1,C6,C2";"C_0402_1005Metric";6;"0.1uF";;;
12;"J8";"MEM20510019500A";1;"MEM2051-00-195-00-A";;;
13;"J5";"JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical";1;"Fan";;;
14;"Q1";"SOT-23";1;"NX7002BKR";;;
15;"J4";"JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical";1;"O2 Sensor";;;
16;"R9";"R_0402_1005Metric";1;"500";;;
17;"U2";"USEQGSE";1;"USEQGSE CH4";;;
