"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"P2";"MOLEX_4455_N2X5";1;"CONN_5";;;
2;"U1";"SOT223";1;"NCP1117ST50T3G";;;
3;"SW1";"DIP-6__300";1;"HEX_DIP";;;
4;"U2";"SOT223";1;"NCP1117ST33T3G";;;
5;"U4";"XL7105-D03B";1;"A7105";;;
6;"IC1";"TQFP32";1;"ATMEGA328P";;;
7;"R6,R4,R3";"SM0603_Resistor";3;"1K";;;
8;"R1";"SM0603_Resistor";1;"10K";;;
9;"R2,R5,R7";"SM0603_Resistor";3;"2K2";;;
10;"P1";"pin_array_3x2";1;"ISP";;;
11;"U6";"header_10_2mm";1;"CC2500";;;
12;"X1";"crystal_FA238-TSX3225";1;"16MHz";;;
13;"C1,C6,C3";"c_tant_B";3;"22uF";;;
14;"Hole_4mm";"Hole_4mm";1;"";;;
15;"SW3";"Switch_SMT5mm";1;"RESET";;;
16;"U5";"NRF24L01";1;"NRF24L01";;;
17;"U3";"CYRF6936";1;"CYRF6936";;;
18;"D2,D1";"LED-0603";2;"LED";;;
19;"";"LOGO";1;"";;;
20;"C7,C2";"SM0603_Capa";2;"0.1uF";;;
21;"C4,C5";"SM0603_Capa";2;"18pF";;;
22;"SW2";"SW_PUSH_6x4.5MM";1;"BIND";;;
23;"R8";"SM0603_Resistor";1;"470";;;
24;"P3";"PIN_ARRAY_2X1";1;"CONN_2";;;
25;"JP3,JP1,JP2,JP4";"c_0603";4;"JUMPER";;;
26;"2_3d_jumper_table";"2_3d_jumper_table";1;"VAL**";;;
