"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U201";"IC-LFCSP72-HANDFIT";1;"ADAU1452WBCPZ";;;
2;"U501,U502";"IC_SOIC_8";2;"NB3L553";;;
3;"P203,JP401";"CONN_SIL_3_1MM";2;"CONN_3x1";;;
4;"C402,C333,C329,C319,C253,C326,C323,C338,C416,C413,C320,C243,C506,C503,C236,C414,C314,C307,C317,C310,C264,C233,C218,C208,C201,C239,C302,C412,C406,C417,C235,C210,C212";"SMD-0805";33;"100n";;;
5;"P506,P501,P502,P503,P504,P507,P508,P509,P510";"CONN_DIL_2X5_BOX_1MM";9;"CONN_02X05";;;
6;"X201";"XTAL_HC49_TH";1;"24M576";;;
7;"U204";"IC_DIP_8";1;"25AA1024";;;
8;"R233,R407,R413,R211,R230,R229,R567,R566,R565,R563,R562,R561,R559,R558,R557,R555,R554,R553,R551,R550,R548,R547,R546,R404,R403,R228,R227,R544,R549,R545,R405,R406,R234,R235,R236,R248";"SMD-0805";36;"75";;;
9;"TP509,TP503,TP510,TP517,TP514,TP518,TP515,TP519,TP516,TP520,TP521,TP522,TP523,TP524,TP525,TP526,TP527,TP528,TP504,TP511,TP512,TP502,TP507,TP508,TP501,TP505,TP506,TP201,TP513";"TP-TH-1mm";29;"PIN";;;
10;"D501,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511,D512,D303,D305,D306,D307";"DIODE-SOD-123";16;"SS14L";;;
11;"D302,D301";"DIODE-SMA";2;"B240A";;;
12;"R219";"SMD-0603";1;"4k3";;;
13;"C225";"SMD-0603";1;"150p";;;
14;"C224";"SMD-0603";1;"5n6";;;
15;"C268,C258,C248,C244,C238,C229,C226,C221,C215,C241,C247";"SMD-0603";11;"100n";;;
16;"C246,C242,C240,C237,C228,C223,C219,C213,C245,C257";"SMD-0603";10;"1u";;;
17;"C230,C227,C222,C217,C249,C260";"SMD-0603";6;"10n";;;
18;"TP205,TP204";"TP-1mm";2;"PIN";;;
19;"U303";"IC-SOT-223";1;"TLV1117LV12DCY";;;
20;"D304";"SMD-1206";1;"Green LED 1206";;;
21;"U202";"IC_SOIC_8";1;"ADM13307-5ARZ";;;
22;"SW201";"SW_TACT_SMD";1;"SWITCH";;;
23;"C312,C311,C408,C407,R239,R578,R577,R576,R574,R573,R572,R570,R569,R568,R509,R510,R511,R512,R505,R506,R507,R508,R501,R502,R503,R504,R208,R207,R206,R205,R210,R209,R245,R243,R220,R204,R203,R579,R571,R575,R580,R581,R582,R583,R513,R514,R515,R516";"SMD-0805";48;"N/F";;;
24;"R302,R408,R409,R242,R402,R240,R238";"SMD-0805";7;"10k";;;
25;"C315,C313,C207,C505,C502,C316,C305,C309,C334,C301,C322,C405,C252,C234,C267";"SMD-0805";15;"22u";;;
26;"R311,R534,R533,R401,R303,R246,R237,R224,R215,R202";"SMD-0805";10;"47";;;
27;"R310,R244,R584,R585,R247";"SMD-0805";5;"1";;;
28;"C337,C321,C256,C328,C325,C339,C410,C266,C216,C411,C404,C209,C211";"SMD-0805";13;"10u";;;
29;"C327,C504,C231,C214,C205,C501,C401,C304,C265,C250";"SMD-0805";10;"100p";;;
30;"R411,R226,R231,R241";"SMD-0805";4;"100";;;
31;"R214,R213,R212,R560,R556,R552,R520,R519,R518,R517,R524,R523,R522,R521,R528,R527,R526,R525,R532,R531,R530,R529,R541,R306,R223,R216,R564,R587,R586";"SMD-0805";29;"0";;;
32;"C261,C254";"SMD-0805";2;"33p";;;
33;"R221";"SMD-0805";1;"3k";;;
34;"R543,R542,R225,R201";"SMD-0805";4;"1k";;;
35;"R540,R539,R538,R537,R536,R535";"SMD-0805";6;"4k7";;;
36;"R309";"SMD-0805";1;"470";;;
37;"R305";"SMD-0805";1;"15k";;;
38;"R304";"SMD-0805";1;"24k";;;
39;"R301";"SMD-0805";1;"16k";;;
40;"R232";"SMD-0805";1;"100k";;;
41;"R222";"SMD-0805";1;"3k6";;;
42;"R218";"SMD-0805";1;"3k3";;;
43;"R217";"SMD-0805";1;"12k";;;
44;"L401,L301,L202,L201,L203";"SMD-0805";5;"600R@100MHz";;;
45;"C415,C308,C220,C263";"SMD-0805";4;"10n";;;
46;"TP206";"TP-2mm";1;"PIN";;;
47;"R410";"SMD-0805";1;"360";;;
48;"R412";"SMD-0805";1;"91";;;
49;"U404";"IC_SOIC_14";1;"74HC04";;;
50;"U203";"IC-SC70-6";1;"NC7WZ17P6X";;;
51;"U401";"IC-SC70-6";1;"NC7WZ16P6X";;;
52;"C403,C251,C303,C318,C306,C206,C232,C324,C336";"CAP-TH-D6.3mmP2.5mm";9;"220u";;;
53;"P304";"CONN-2WAY-2.54mm-3.81mm-SPACING";1;"CONN_2x1";;;
54;"CN401,CN402";"CONN_SIL_2_1MM";2;"COAX";;;
55;"JP201,P202,P306,P307";"CONN_SIL_2_1MM";4;"CONN_2x1";;;
56;"P505";"CONN_DIL_2X6_1MM";1;"CONN_02X06";;;
57;"U402";"IC_SPDIF_OPTO";1;"IC-SPDIF-RX-OPTO";;;
58;"U403";"IC_SPDIF_OPTO";1;"IC-SPDIF-TX-OPTO";;;
59;"L302";"IND-TYS5040-HS";1;"TYS50404R7N-10";;;
60;"U301";"IC-SOT23-6";1;"ADP2301AUJZ";;;
61;"MNT301,MNT302,MNT303,MNT304";"MNT_HOLE_3.2mm";4;"MNT_HOLE";;;
62;"U302";"IC-SOT-223";1;"TLV1117LV33DCY";;;
63;"FID4,FID3,FID2,FID1";"FID-1MM-3MM";4;"MNT_HOLE";;;
64;"P511,P512";"CONN_DIL_2X6_BOX_1MM";2;"CONN_02X06";;;
