"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"LED7";"LED-5mm-PTH-AK";1;"IR333";;;
2;"UEXT1";"UEXTM-SMD";1;"BH10S";;;
3;"LED5";"WS2812_NO_SILK";1;"WS2812S";;;
4;"U9";"GYX1588AB";1;"GYX1588AB";;;
5;"C26,C17,C24,C25,C18,C12,C11";"C_0805_5MIL_DWS";7;"47uF";;;
6;"C22,C16,C23,C13,C6,C1";"C_0603_5MIL_DWS";6;"1uF";;;
7;"R31,R30,R29,R28,R27,R26";"R_0402_5MIL_DWS";6;"10M";;;
8;"CC7,CC6,CC5,CC4,CC3,CC2,CC1";"Mounting_hole_Shield_4.3mm";7;"TESTPAD";;;
9;"BAT_CON1";"LIPO_BAT-CON2DW02R";1;"LiPo 3.7V";;;
10;"MountingHoleShield**,MountingHoleShield**";"Mounting_hole_Shield_3.3mm";2;"Mounting_hole_Shield_3.3mm";;;
11;"MountingHole,MountingHole,MountingHole,MountingHole,MountingHole,MountingHole";"NPTH_2.7mm";6;"NPTH_2.7mm";;;
12;"PIR1";"HN1x3";1;"PIR-SB321";;;
13;"U3";"RPM7236-H8-V";1;"RPM7236-H8";;;
14;"U10";"SO-8";1;"LM358";;;
15;"R18,R25,R22,R21,R20,R11,R10,R8,R3,R2";"R_0402_5MIL_DWS";10;"10K";;;
16;"R17,R19,R14";"R_0402_5MIL_DWS";3;"100R";;;
17;"R16";"R_0402_5MIL_DWS";1;"100K";;;
18;"R15";"R_0402_5MIL_DWS";1;"1K";;;
19;"R7";"R_PHOTO";1;"R_PHOTO";;;
20;"USB1";"USB-MICRO_MISB-SWMM-5B_LF";1;"USB-MICRO";;;
21;"VR1";"SOT-23-5";1;"AP1231-3.3V";;;
22;"U4";"SO-8";1;"TCN75";;;
23;"U1";"SOT-23-5";1;"BL4054B-42TPRN(SOT23-5)";;;
24;"R24";"R_0402_5MIL_DWS";1;"20K";;;
25;"R23,R9,R4,R1";"R_0402_5MIL_DWS";4;"2K";;;
26;"R13";"R_1206_5MIL_DWS";1;"6.8R";;;
27;"R12,R6,R5";"R_0402_5MIL_DWS";3;"22R";;;
28;"LED6,LED4,LED1";"LED_0603_KA";3;"yellow";;;
29;"LED3,LED2";"LED_0603_KA";2;"green";;;
30;"FET1";"SOT23";1;"IRML6402";;;
31;"D1";"SMA-KA";1;"SS14";;;
32;"C21";"C_0402_5MIL_DWS";1;"47pF";;;
33;"C20,C19,C15,C14,C10,C9,C8,C5";"C_0402_5MIL_DWS";8;"100nF";;;
34;"C7,C2";"C_0603_5MIL_DWS";2;"2.2uF";;;
35;"C4,C3";"C_0402_5MIL_DWS";2;"20pF";;;
36;"RM2,RM1";"RA1206_(4X0603)_4B8_mine";2;"RA1206_(4x0603)_4B8_22R";;;
37;"U7,U8";"SO-16";2;"ULN2003AD";;;
38;"U5,U6";"SO-16";2;"74HC595";;;
39;"USON1";"USONIC-PING";1;"SNS-US2020";;;
40;"SERVO1,SERVO2";"HN1x3";2;"CON3";;;
41;"SW1";"T1107A(6x3,8x2,5MM)";1;"T1107A(6x3,8x2,5MM)";;;
42;"U2";"TQFP44";1;"ATmega32U4-AU";;;
43;"Q1";"HCX-4S_2Pins_5.0x3.2mm";1;"16.000MHz/SMD5x3.2/12pF";;;
44;"JS1";"JOYSTICK";1;"JOYSTICK";;;
45;"ICSP1";"HN2x3";1;"BH06S";;;
46;"BUZ1";"BUZZER-PB1240";1;"Buzzer";;;
47;"";"OLIMEX_LOGO_TB";1;"";;;
48;"Ref*,Ref*,Ref*,Ref*,Ref*,Ref*,Ref*,Ref*";"Fiducial1x3_transp";8;"Val**";;;
49;"";"LOGO_OPENHARDWARE_8x8";1;"";;;
