"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Sign_RoHS";"Sign_RoHS_1";1;"Sign_RoHS";;;
2;"Sign_RecycleBin";"Sign_RecycleBin_1";1;"Sign_RecycleBin";;;
3;"Sign_PB-Free";"Sign_PB-Free";1;"Sign_PB-Free";;;
4;"Sign_OSHW_8x8";"Sign_OSHW_8x8";1;"Sign_OSHW_8x8";;;
5;"Sign_Antistatic";"Sign_Antistatic";1;"Sign_Antistatic";;;
6;"Logo_OLIMEX_TB-Bottom,Logo_OLIMEX_TB-Top";"Logo_OLIMEX_TB";2;"Logo_OLIMEX_TB";;;
7;"Sign_CE";"CE_Sign";1;"CE_Sign";;;
8;"AUDIO1";"SCJ325P00XG0B02G";1;"PJ-3.5-365-5P";;;
9;"BAT1";"LIPO_BAT_VERTICAL_DW02S";1;"DW02S";;;
10;"BUZ1";"PB1221P_1-Plus_2-Minus";1;"BUZZER_PB1221P(1.1-1.7V_2kHz_12MM)";;;
11;"C6,C9,C10,C2,C7,C14,C17,C19";"C_0603_5MIL_DWS";8;"22uF/6.3V/20%/X5R/C0603";;;
12;"C11,C4,C5";"C_0603_5MIL_DWS";3;"NA(22uF/6.3V/20%/X5R/C0603)";;;
13;"C15,C1,C3,C12,C13,C18,C20,C8";"C_0402_5MIL_DWS";8;"100nF/10V/10%/X7R/C0402";;;
14;"C16";"C_0603_5MIL_DWS";1;"1uF/10V/20%/X5R/C0603";;;
15;"CD#1";"TEST_PAD_40x70_Round";1;"TESTPAD";;;
16;"CHARGING1";"LED_0603_KA";1;"LED/YELLOW/0603";;;
17;"D1";"SMA-KA";1;"NA(1N5822/SS34/SMA)";;;
18;"D2,D3";"SMA-KA";2;"1N5822/SS34/SMA";;;
19;"FET1,FET2";"SOT23";2;"WPM2015-3/TR";;;
20;"FID1,FID2,FID3,FID4,FID5,FID6";"Fiducial1x3";6;"Fiducial";;;
21;"L1,L2";"CD32";2;"2.2uH/1.5A/DCR=58mR/20%/3.00x3.00x1.50mm/CD32(NRS3015T2R2MNGH)";;;
22;"L3";"L_0805_5MIL_DWS";1;"FB0805/600R/2A";;;
23;"MH1,MH2,MH3,MH4";"Mounting_Hole_Drill-3.3mm_Clerance-7mm";4;"Mounting_Hole_NPTH";;;
24;"MICRO_SD1";"TFC-WPAPR-08";1;"TFC-WPAPR-08-LF";;;
25;"PS2_KEYBOARD1,PS2_MOUSE1";"PS2_MDR6_MINI-DIN";2;"MDR6_MINI-DIN";;;
26;"PWR_LED1";"LED_0603_KA";1;"LED/RED/0603";;;
27;"R1,R3,R30,R32,R37,R33";"R_0402_5MIL_DWS";6;"2.2k/R0402";;;
28;"R2,R5,R19,R20,R34,R35,R21,R43";"R_0402_5MIL_DWS";8;"10k/R0402";;;
29;"R10";"R_0402_5MIL_DWS";1;"4.7k/R0402";;;
30;"R12,R15,R31";"R_0402_5MIL_DWS";3;"220k/R0402";;;
31;"R13";"R_0402_5MIL_DWS";1;"49.9k/1%/R0402";;;
32;"R16,R17,R42";"R_0402_5MIL_DWS";3;"470k/R0402";;;
33;"R18";"R_0402_5MIL_DWS";1;"150k/R0402";;;
34;"R28,R29,R38,R39";"R_0402_5MIL_DWS";4;"120R/R0402";;;
35;"R22,R24,R26";"R_0603_5MIL_DWS";3;"430R/1%/R0603";;;
36;"R23,R25,R27";"R_0603_5MIL_DWS";3;"820R/R0603";;;
37;"R36,R14";"R_0402_5MIL_DWS";2;"150R/R0402";;;
38;"R40";"R_0402_5MIL_DWS";1;"NA/R0402";;;
39;"R41";"R_0402_5MIL_DWS";1;"270R/R0402";;;
40;"RM1";"RA1206_(4X0603)_4B8_xx";1;"RA1206_(4x0603)_4B8_10k";;;
41;"TVS3,TVS4,TVS1,TVS2,TVS5";"D_0402_5MIL_DWS";5;"NA(GG0402052R542P)";;;
42;"USB-UART1";"USB2.0_TYPE-C(A40-00119-A52-12)";1;"USB-C-16P-F(A40-00119-A52-12)";;;
43;"C21";"C_0805_5MIL_DWS";1;"47uF/6.3V/20%/X5R/C0805";;;
44;"D4";"SOT23-3";1;"BAT54C(SOT23-3)";;;
45;"D5,D6";"SOD-123_1C-2A_KA";2;"1N4148W/SOD123";;;
46;"Q3,Q1,Q2";"SOT23";3;"BC817-40(SOT23)";;;
47;"R9";"R_0402_5MIL_DWS";1;"8.25k/1%/R0402";;;
48;"R7,R8";"R_0402_5MIL_DWS";2;"1k/R0402";;;
49;"R11";"R_0402_5MIL_DWS";1;"1.1k/1%/R0402";;;
50;"U1";"TSSOP20_Pitch-0.65mm_6.6x4.5x1.2mm";1;"CH32V003F4P6(TSSOP20)";;;
51;"U2";"SOT-23-5";1;"BL4054B-42TPRN(SOT23-5)";;;
52;"U3";"SOT-666";1;"NA(USBLC6-2P6)";;;
53;"U4";"MSOP-10_Pitch-0.5mm_3.00x3.00x1.00mm";1;"CH340X(MSOP-10)";;;
54;"U5";"SOT-23-5";1;"SY8089AAAC(SOT23-5)";;;
55;"U7";"SOT23-6";1;"MT3608(SOT23-6)";;;
56;"U8";"ESP32-WROVER(WROOM)-UNIVERSAL_MODULE";1;"ESP32-WROVER-IE";;;
57;"UEXT1";"BH10R";1;"B-R-10-LF(BH10R)";;;
58;"VGA1";"VGA15-F(HDR15-3.08-14.5T)";1;"HDR15-3.08-14.5T/VGA15/14.5mm";;;
59;"PGM/DBG1";"HN1x2";1;"NA(HN1x2)";;;
60;"U6";"SOT-23-5";1;"SN74LVC1G04DBVR(SOT23-5)";;;
61;"Access_Bus1";"HN1x8";1;"HN1x8";;;
62;"LCD_CON1";"HN1x12";1;"HN1x12";;;
63;"BUZ_EN1";"HN1x2(SMD)_H-WX-1x2-LF";1;"H-WX-1x2-LF+MJ6";;;
64;"R4,R6";"R_0402_5MIL_DWS";2;"5.1k/R0402";;;
