"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"EXT2";"BH20S";1;"BH20S";;;
2;"U2,U3";"SSOP48_Pitch-0.635_16.00x10.40x2.80mm";2;"74ALVC164245DL(SSOP48)";;;
3;"C1,C3,C4,C6";"C_0603_5MIL_DWS";4;"22uF/6.3V/0603";;;
4;"C12,C13,C15,C2,C5,C10,C8,C9,C11,C14";"C_0402_5MIL_DWS";10;"100nF";;;
5;"R1,R3";"R_0402_5MIL_DWS";2;"2.2k";;;
6;"R2,R4,R8,R9,R10,R11";"R_0402_5MIL_DWS";6;"10k";;;
7;"R5,R7";"R_0402_5MIL_DWS";2;"100k/1%";;;
8;"R6";"R_0402_5MIL_DWS";1;"10k/1%";;;
9;"C7";"C_0402_5MIL_DWS";1;"NA(100nF)";;;
10;"GPIO_In1";"IDC34R_PCB";1;"IDC34R";;;
11;"GPIO_Out1";"BH34R";1;"BH34R";;;
12;"L1";"L_0805_5MIL_DWS";1;"FB0805/600R/2A";;;
13;",,";"Fiducial1x3";3;"";;;
14;"D1";"SOD-123_1C-2A_KA";1;"1N5819(S4SOD-123)";;;
15;"DIR1,DIR2,DIR3,DIR4";"HN1x2";4;"HN1x2(Opened)";;;
16;"EXT1";"BH14S";1;"BH14S";;;
17;"U1";"SC70-6_Pitch-0.65_2.00x2.10x1.00mm";1;"MCP47A1T-A0E/LT(SC70-6)";;;
18;"UEXT1";"BH10S";1;"BH10S";;;
19;"VR1";"SOT-223-5_Pitch-1.27_6.50x7.00x1.80";1;"MCP1825-ADJE/DC(SOT-223-5)";;;
20;"";"LOGO_OLIMEX_80";1;"";;;
21;"Ref**";"LOGO_ANTISTATIC_1";1;"Val**";;;
22;"";"LOGO_OPENHARDWARE_8x8";1;"";;;
23;"";"LOGO_PBFREE";1;"";;;
24;"";"LOGO_RECYCLEBIN_1";1;"";;;
25;"Ref**";"LOGO_ROHS_1";1;"Val**";;;
26;"";"OLIMEX_LOGO_TB";1;"";;;
