"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q2,Q1";"SOT-23";2;"BC856";;;
2;"U2";"SOP-16_150mil";1;"CH340G";;;
3;"R1,R4";"RES-0603";2;"4K7";;;
4;"R2,R3";"RES-0603";2;"1K";;;
5;"J5";"RCP_1x6_Pitch2.54mm_RightAngle";1;"CONN-HDR-1x6";;;
6;"SW1";"MSS22D18";1;"MSS22D18";;;
7;"J1";"MICRO-USB";1;"MICRO-USB";;;
8;"F1";"MF-PSMF020X";1;"MF-PSMF050X-2";;;
9;"J4";"JUMPER-2-WAY-SMD";1;"JUMPER-2-WAY";;;
10;"C7";"CAP-0603";1;"100nF";;;
11;"C6,C5";"CAP-0603";2;"22pF";;;
12;"C4";"CAP-0603";1;"10nF";;;
13;"C3,C2";"CAP-0603";2;"1uF 16V X5R";;;
14;"J2,J3";"HDR_1x6_Pitch2.54mm_WithoutSilk";2;"CONN-HDR-1x6";;;
15;"U1";"SOT-23";1;"MCP1700T-3302E/TT";;;
16;"Y1";"ABM3";1;"12MHz";;;
17;"C1";"CAP-0603";1;"4.7uF 10V X5R";;;
18;"D1";"LED-0603";1;"Red";;;
19;"D2";"LED-0603";1;"Green";;;
20;"LOGO1";"LOGO-ROCKET-SCREAM_Vertical_XSmall";1;"LOGO-ROCKET-SCREAM";;;
21;"LOGO2";"LOGO-KICAD_XSmall";1;"LOGO-KICAD";;;
