"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP3,JP4";"1X13_ROUND_70";2;"";;;
2;"U2";"SOT23-5";1;"MIC5225-3";;;
3;"LED8,LED2,LED6,LED4,LED7,LED5,LED3,LED1";"CHIPLED_0805";8;"";;;
4;"R9,R12,R11,R10";"0805-NO";4;"10K";;;
5;"U1";"QFN24_4MM_SMSC";1;"";;;
6;"R2,R1";"RESPACK_4X0603";2;"470";;;
7;"U$9,U$7,U$8,U$10";"MOUNTINGHOLE_2.0_PLATED";4;"MOUNTINGHOLE2.0";;;
8;"U$13";"ADAFRUIT_3.5MM";1;"";;;
9;"FID2,FID1";"FIDUCIAL_1MM";2;"FIDUCIAL""";;;
10;"C2,C3";"0805-NO";2;"10uF";;;
11;"R13";"_0805MP";1;"150K";;;
12;"U$14";"ADAFRUIT_9MM";1;"";;;
