"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R150,R131,R167,R132,R32,R77,R42,R33,R158,R86,R69,R123,R141,R104,R168,R105,R60,R23,R24,R51,R114,R177,R59,R50,R41,R68,R113,R122,R176,R95,R149,R96,R15,R87,R7,R140,R14,R78,R159,R6";"0603";40;"100k";;;
2;"H58,H26,H9,H67,H76,H6,H46,H56,H17,H60,H52,H20,H48,H47,H5,H68,H79,H30,H44,H4,H12,H32,H63,H77,H59,H36,H35,H39,H42,H70,H33,H34,H65,H19,H57,H23,H54,H53,H1,H51,H73,H24,H2,H16,H40,H7,H38,H69,H62,H18,H55,H31,H8,H78,H50,H72,H3,H15,H80,H66,H29,H61,H74,H13,H10,H45,H49,H21,H28,H43,H64,H37,H11,H75,H22,H27,H71,H25,H41,H14";"STAND-OFF";80;"STAND-OFF";;;
3;"J94,J30,J158,J62,J150,J86,J70,J118,J142,J54,J110,J126,J38,J134,J4,J22,J102,J14,J46,J78";"1X07";20;"";;;
4;"J31,J71,J79,J15,J159,J6,J143,J95,J87,J119,J63,J135,J151,J103,J39,J47,J111,J127,J23,J55";"1X02";20;"";;;
5;"J72,J96,J48,J88,J32,J64,J120,J152,J40,J128,J24,J56,J112,J16,J144,J80,J8,J136,J104,J160";"1X01";20;"";;;
6;"R84,R138,R39,R57,R21,R120,R147,R75,R156,R129,R66,R174,R102,R30,R8,R111,R93,R12,R48,R165";"0603";20;"10k";;;
7;"R172,R127,R65,R110,R119,R2,R46,R1,R11,R154,R20,R37,R137,R128,R109,R173,R47,R145,R73,R74,R163,R91,R100,R101,R56,R10,R64,R29,R38,R164,R28,R118,R55,R136,R83,R19,R155,R146,R92,R82";"0603";40;"4.7k";;;
8;"U6,U78,U30,U42,U58,U22,U62,U50,U26,U4,U10,U18,U66,U74,U38,U70,U14,U34,U54,U46";"TQFP-48";20;"ATSAMD21G-A";;;
9;"JP33,JP5,JP25,JP9,JP15,JP2,JP19,JP27,JP11,JP23,JP21,JP7,JP29,JP13,JP39,JP37,JP3,JP35,JP31,JP17";"2X5-PTH-1.27MM";20;"CORTEX_DEBUGPTH";;;
10;"TP13,TP10,TP18,TP7,TP22,TP6,TP30,TP26,TP40,TP19,TP29,TP20,TP21,TP1,TP32,TP31,TP34,TP5,TP27,TP25,TP2,TP12,TP3,TP38,TP14,TP24,TP15,TP4,TP16,TP8,TP11,TP33,TP36,TP23,TP35,TP9,TP28,TP17,TP37,TP39";"PAD.03X.03";40;"TEST-POINT3";;;
11;"LOGO35,LOGO14,LOGO17,LOGO11,LOGO50,LOGO47,LOGO32,LOGO53,LOGO38,LOGO2,LOGO59,LOGO20,LOGO26,LOGO23,LOGO44,LOGO41,LOGO8,LOGO29,LOGO5,LOGO56";"OSHW-LOGO-S";20;"OSHW-LOGOS";;;
12;"C27,C63,C14,C170,C110,C182,C232,C145,C229,C137,C172,C50,C100,C135,C218,C173,C13,C210,C26,C231,C158,C41,C122,C6,C9,C114,C15,C42,C28,C193,C61,C8,C209,C157,C52,C162,C25,C220,C148,C86,C136,C124,C18,C171,C88,C54,C134,C66,C197,C99,C73,C159,C65,C53,C208,C5,C233,C87,C196,C75,C11,C30,C76,C198,C150,C125,C74,C49,C126,C149,C230,C113,C206,C234,C111,C40,C77,C109,C39,C185,C29,C183,C205,C38,C7,C161,C217,C186,C221,C51,C147,C78,C194,C98,C64,C169,C16,C89,C90,C138,C17,C121,C222,C133,C181,C123,C62,C97,C102,C207,C219,C112,C195,C160,C146,C37,C184,C85,C174,C101";"0603";120;"0.1uF";;;
13;"LOGO39,LOGO15,LOGO3,LOGO18,LOGO54,LOGO57,LOGO42,LOGO45,LOGO60,LOGO36,LOGO30,LOGO6,LOGO24,LOGO21,LOGO51,LOGO27,LOGO33,LOGO12,LOGO48,LOGO9";"SFE_LOGO_NAME_.1";20;"SFE_LOGO_NAME.1_INCH";;;
14;"C104,C152,C200,C10,C127,C20,C115,C43,C116,C31,C188,C175,C236,C44,C68,C212,C199,C176,C235,C80,C211,C32,C224,C187,C67,C55,C128,C12,C19,C79,C92,C164,C163,C56,C103,C91,C140,C223,C139,C151";"0603";40;"15pF";;;
15;"Y20,Y10,Y6,Y2,Y11,Y15,Y9,Y19,Y3,Y8,Y7,Y5,Y1,Y17,Y4,Y13,Y18,Y16,Y12,Y14";"CRYSTAL-SMD-3.2X1.5MM";20;"32.768kHz";;;
16;"U69,U3,U53,U13,U49,U33,U45,U29,U65,U9,U61,U57,U41,U5,U17,U21,U25,U73,U37,U77";"QFN24-3X3";20;"MPU-9250";;;
17;"FD46,FD33,FD42,FD53,FD2,FD77,FD13,FD38,FD29,FD41,FD26,FD66,FD65,FD74,FD14,FD54,FD62,FD17,FD4,FD6,FD73,FD37,FD21,FD34,FD58,FD78,FD69,FD25,FD5,FD22,FD50,FD61,FD30,FD10,FD18,FD57,FD45,FD9,FD70,FD49,FD51,FD75,FD19,FD32,FD52,FD36,FD71,FD28,FD76,FD3,FD55,FD35,FD68,FD59,FD56,FD72,FD48,FD16,FD31,FD80,FD44,FD11,FD15,FD8,FD47,FD39,FD20,FD12,FD24,FD60,FD7,FD64,FD79,FD23,FD27,FD43,FD67,FD63,FD1,FD40";"FIDUCIAL-1X2";80;"FIDUCIAL1X2";;;
18;"J141,J125,J117,J69,J13,J149,J93,J101,J77,J5,J157,J37,J109,J29,J85,J45,J133,J61,J21,J53";"1X08";20;"";;;
19;"JP26,JP32,JP28,JP6,JP8,JP40,JP14,JP38,JP36,JP24,JP30,JP20,JP34,JP4,JP18,JP16,JP10,JP22,JP1,JP12";"SMT-JUMPER_2_NC_PASTE_NO-SILK";20;"LED";;;
20;"J7,J51,J11,J99,J139,J123,J67,J59,J107,J27,J155,J91,J115,J43,J35,J83,J75,J147,J131,J19";"1X04";20;"";;;
21;"E$7,E$8";"FIDUCIAL-1X2";2;"";;;
22;"E$1";"FIDUCIAL-1.5X3";1;"";;;
23;"R49,R94,R72,R40,R27,R89,R81,R103,R90,R162,R107,R139,R44,R121,R62,R13,R98,R5,R80,R116,R117,R144,R171,R148,R17,R85,R71,R54,R130,R157,R108,R170,R58,R18,R125,R112,R3,R53,R45,R179,R153,R99,R35,R175,R26,R152,R161,R22,R67,R63,R166,R31,R36,R9,R180,R135,R143,R134,R126,R76";"0603";60;"1k";;;
24;"D46,D38,D50,D26,D42,D22,D66,D58,D10,D78,D34,D6,D14,D74,D54,D1,D30,D70,D18,D62";"SOD-323";20;"1A/23V/620mV";;;
25;"J154,J122,J1,J50,J146,J74,J26,J34,J114,J10,J42,J98,J106,J66,J82,J58,J130,J90,J138,J18";"JST-2-SMD";20;"LiPo";;;
26;"D53,D65,D37,D77,D61,D41,D33,D17,D29,D3,D21,D9,D69,D5,D25,D13,D49,D73,D45,D57";"LED-0603";20;"RED";;;
27;"J76,J132,J68,J44,J140,J156,J148,J92,J60,J100,J124,J84,J36,J12,J20,J108,J2,J52,J116,J28";"USB-B-MICRO-SMD_V03";20;"";;;
28;"U68,U8,U72,U28,U16,U2,U20,U80,U60,U44,U32,U56,U52,U76,U36,U40,U64,U24,U48,U12";"SOT23-5";20;"MCP73831";;;
29;"U7,U43,U35,U1,U79,U67,U47,U31,U55,U23,U71,U15,U75,U39,U51,U19,U27,U11,U59,U63";"SOT23-5";20;"3.3V";;;
30;"C167,C60,C72,C24,C156,C47,C3,C180,C179,C216,C96,C143,C204,C84,C240,C107,C144,C228,C48,C239,C83,C203,C71,C131,C36,C120,C215,C192,C119,C168,C59,C227,C4,C132,C95,C35,C191,C155,C23,C108";"0603";40;"4.7uF";;;
31;"D63,D43,D79,D35,D55,D47,D15,D59,D51,D39,D23,D27,D2,D75,D71,D19,D67,D11,D7,D31";"LED-0603";20;"Yellow";;;
32;"C22,C238,C226,C130,C2,C202,C118,C190,C166,C142,C82,C70,C34,C214,C94,C178,C46,C106,C58,C154";"0603";20;"2.2uF";;;
33;"J129,J113,J89,J49,J41,J97,J33,J25,J3,J145,J57,J105,J17,J121,J81,J73,J9,J153,J137,J65";"MICRO-SD-SOCKET-PP";20;"USD_CONNECTOR";;;
34;"LOGO40,LOGO52,LOGO19,LOGO25,LOGO1,LOGO34,LOGO22,LOGO28,LOGO31,LOGO46,LOGO16,LOGO4,LOGO10,LOGO7,LOGO58,LOGO13,LOGO49,LOGO37,LOGO55,LOGO43";"SFE_LOGO_FLAME_.1";20;"SFE_LOGO_FLAME.1_INCH";;;
35;"D48,D72,D52,D20,D28,D24,D32,D36,D80,D8,D12,D64,D68,D60,D40,D16,D76,D44,D4,D56";"LED-0603";20;"BLUE";;;
36;"F11,F1,F2,F5,F13,F12,F9,F18,F4,F3,F7,F10,F15,F19,F16,F20,F6,F17,F8,F14";"1206";20;"6V/0.5A";;;
37;"R142,R25,R70,R169,R133,R115,R79,R43,R34,R97,R178,R52,R88,R4,R16,R106,R124,R151,R160,R61";"0603";20;"2.2k";;;
38;"S1,S11,S5,S3,S15,S10,S12,S4,S13,S17,S2,S19,S9,S18,S16,S8,S6,S7,S20,S14";"SWITCH-SPST-SMD-A";20;"";;;
39;"C117,C33,C81,C201,C105,C225,C213,C165,C21,C177,C237,C45,C153,C189,C57,C69,C141,C1,C93,C129";"0603";20;"1.0uF";;;
