"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C18,C35,C10,C34,C30,C4,C14,C29,C16,C13,C5,C1,C21,C20,C12,C22,C9,C15,C24,C31,C11,C36,C28,C26,C25,C8,C6,C2,C19,C27,C17,C3,C23,C33,C32,C7";"0603";36;"0.1uF";;;
2;"STANDOFF17,STANDOFF50,STANDOFF66,STANDOFF10,STANDOFF14,STANDOFF42,STANDOFF16,STANDOFF69,STANDOFF25,STANDOFF51,STANDOFF4,STANDOFF45,STANDOFF24,STANDOFF43,STANDOFF12,STANDOFF46,STANDOFF13,STANDOFF67,STANDOFF68,STANDOFF64,STANDOFF71,STANDOFF2,STANDOFF9,STANDOFF28,STANDOFF15,STANDOFF36,STANDOFF11,STANDOFF59,STANDOFF29,STANDOFF62,STANDOFF20,STANDOFF3,STANDOFF35,STANDOFF56,STANDOFF6,STANDOFF27,STANDOFF57,STANDOFF63,STANDOFF72,STANDOFF26,STANDOFF19,STANDOFF30,STANDOFF38,STANDOFF49,STANDOFF21,STANDOFF47,STANDOFF7,STANDOFF5,STANDOFF41,STANDOFF8,STANDOFF34,STANDOFF54,STANDOFF48,STANDOFF52,STANDOFF44,STANDOFF32,STANDOFF1,STANDOFF22,STANDOFF55,STANDOFF53,STANDOFF31,STANDOFF37,STANDOFF18,STANDOFF23,STANDOFF58,STANDOFF70,STANDOFF65,STANDOFF61,STANDOFF60,STANDOFF40,STANDOFF39,STANDOFF33";"STAND-OFF";72;"STAND-OFF";;;
3;"R29,R23,R6,R9,R19,R31,R27,R7,R10,R2,R17,R11,R26,R24,R12,R15,R35,R36,R33,R22,R25,R16,R20,R21,R28,R32,R4,R5,R3,R13,R1,R30,R14,R18,R8,R34";"0603";36;"10K";;;
4;"LOGO32,LOGO46,LOGO10,LOGO14,LOGO30,LOGO52,LOGO54,LOGO64,LOGO6,LOGO72,LOGO2,LOGO36,LOGO44,LOGO20,LOGO62,LOGO22,LOGO12,LOGO4,LOGO18,LOGO42,LOGO40,LOGO16,LOGO28,LOGO58,LOGO34,LOGO68,LOGO8,LOGO24,LOGO38,LOGO50,LOGO66,LOGO26,LOGO60,LOGO48,LOGO70,LOGO56";"SFE-LOGO-FLAME";36;"LOGO-SFESK";;;
5;"U20,U33,U36,U2,U28,U13,U26,U24,U23,U8,U27,U11,U17,U34,U35,U18,U6,U1,U31,U3,U7,U4,U9,U16,U15,U21,U29,U25,U10,U32,U19,U12,U14,U22,U30,U5";"SSOP24";36;"MUX-74HC4067";;;
6;"E$6,E$5";"FIDUCIAL-1X2";2;"";;;
7;"E$1";"FIDUCIAL-1.5X3";1;"";;;
8;"JP35,JP9,JP43,JP11,JP23,JP33,JP71,JP7,JP55,JP25,JP39,JP45,JP37,JP57,JP67,JP15,JP59,JP69,JP65,JP61,JP17,JP47,JP5,JP31,JP29,JP63,JP21,JP49,JP13,JP19,JP41,JP51,JP1,JP53,JP2,JP27";"1X16";36;"";;;
9;"JP10,JP24,JP26,JP8,JP58,JP14,JP12,JP56,JP52,JP28,JP46,JP34,JP50,JP62,JP48,JP32,JP40,JP60,JP38,JP4,JP3,JP54,JP66,JP6,JP22,JP16,JP72,JP68,JP30,JP20,JP70,JP18,JP64,JP42,JP36,JP44";"1X08";36;"";;;
10;"U$25,U$32,U$15,U$22,U$9,U$8,U$14,U$5,U$7,U$28,U$21,U$35,U$19,U$10,U$16,U$13,U$1,U$17,U$18,U$34,U$33,U$23,U$6,U$20,U$30,U$2,U$3,U$29,U$26,U$27,U$24,U$4,U$36,U$11,U$12,U$31";"SFE-NEW-WEBLOGO";36;"LOGO-SFENEW";;;
11;"LOGO65,LOGO1,LOGO21,LOGO15,LOGO57,LOGO51,LOGO55,LOGO41,LOGO7,LOGO19,LOGO53,LOGO17,LOGO23,LOGO61,LOGO25,LOGO27,LOGO45,LOGO31,LOGO43,LOGO49,LOGO13,LOGO35,LOGO5,LOGO29,LOGO63,LOGO37,LOGO33,LOGO39,LOGO9,LOGO59,LOGO69,LOGO11,LOGO47,LOGO71,LOGO3,LOGO67";"OSHW-LOGO-L";36;"OSHW-LOGOL";;;
