"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U7,U5,U19,U13";"QFN-46_CC3000";4;"CC3000";;;
2;"R13,R2,R7,R8,R12,R17,R18,R3";"0603-RES";8;"390";;;
3;"C1,C2,C15,C23,C31,C32,C24,C16";"0805";8;"10uF";;;
4;"U15,U21,U9,U1";"SOT223";4;"LM1117";;;
5;"E$4,E$5";"FIDUCIAL-1X2";2;"";;;
6;"D3,D1,D2,D4";"LED-0603";4;"GREEN";;;
7;"JP16,JP11,JP6,JP1";"1X03";4;"Debug";;;
8;"U11,U23,U4,U17";"MICRO-SD-SOCKET-PP";4;"USD-SOCKETNEW";;;
9;"JP2,JP17,JP7,JP12";"1X08_NO_SILK";4;"";;;
10;"SJ3,SJ1,SJ2,SJ4";"SJ_3_PASTE1&2";4;"Mode";;;
11;"C18,C11,C26,C27,C5,C19,C4,C10";"0805";8;"1uF";;;
12;"R6,R16,R11,R1";"0603-RES";4;"240";;;
13;"@HOLE4,@HOLE3,@HOLE0,@HOLE1,@HOLE5,@HOLE6,@HOLE7,@HOLE2";"";8;"";;;
14;"U16,U3,U10,U22";"SO016";4;"74HC4050";;;
15;"C20,C28,C6,C12";"0603-CAP";4;"10pF";;;
16;"C30,C7,C14,C22";"0603-CAP";4;"2.2pF";;;
17;"FID2,FID8,FID1,FID6,FID3,FID4,FID7,FID5";"FIDUCIAL-1X2";8;"FIDUCIAL1X2";;;
18;"JP18,JP3,JP13,JP8";"1X10_NO_SILK";4;"M10NO_SILK";;;
19;"STANDOFF4,STANDOFF1,STANDOFF6,STANDOFF2,STANDOFF7,STANDOFF8,STANDOFF3,STANDOFF5";"STAND-OFF";8;"STAND-OFF";;;
20;"L3,L1,L7,L5";"0603";4;"DNP";;;
21;"C25,C9,C17,C3";"0603-CAP";4;"0.1uF";;;
22;"U20,U2,U14,U8";"UNO_R3_SHIELD_NOLABELS";4;"ARDUINO_R3_SHIELDNOLABELS";;;
23;"R5,R15,R10,R20,R14,R9,R4,R19";"0603-RES";8;"10k";;;
24;"S3,S2,S1,S4";"TACTILE_SWITCH_SMD";4;"RESET";;;
25;"AE2,AE1,AE3,AE4";"ANTENNA-CHIP_2500AT44M0400";4;"ANTENNA22500AT44M0400";;;
26;"JP20,JP15,JP10,JP5";"1X04";4;"";;;
27;"J3,J4,J2,J1";"U.FL";4;"U.FL";;;
28;"C29,C21,C13,C8";"0603-CAP";4;"DNP";;;
29;"L6,L8,L4,L2";"0603";4;"2.2nH";;;
30;"JP4,JP9,JP14,JP19";"2X3";4;"AVR_SPI_PRG_6PTH";;;
31;"U6,U18,U24,U12";"SOT23-5";4;"74AHC1G125";;;
32;"LOGO9,LOGO12,LOGO6,LOGO3";"SFE-LOGO-FLAME";4;"LOGO-SFESK";;;
33;"LOGO4,LOGO1,LOGO10,LOGO7";"OSHW-LOGO-S";4;"OSHW-LOGOS";;;
34;"E$1";"FIDUCIAL-1.5X3";1;"";;;
35;"LOGO11,LOGO2,LOGO5,LOGO8";"SFE-NEW-WEBLOGO";4;"LOGO-SFENEW";;;
