"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP4";"SMT-JUMPER_2_NO_SILK";1;"";;;
2;"JP1";"SMT-JUMPER_3_2-NC_TRACE_SILK";1;"";;;
3;"R2,R13,R14";"0603";3;"4.7k";;;
4;"U3";"LGA10-MILLABLE";1;"CCS811SKINNY";;;
5;"R6";"0603";1;"100k";;;
6;"R10";"0603";1;"10k";;;
7;"R12";"AXIAL-0.1";1;"DNP";;;
8;"J8";"1X04_NO_SILK";1;"";;;
9;"C2";"0603";1;"1.0uF";;;
10;"J2";"1X03_NO_SILK";1;"";;;
11;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
12;"U$1";"SPARKX-SMALL";1;"SPARKX-LOGO3";;;
13;"LOGO4";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
